國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode
TW0001598001,1598,岱宇,上市 ,股票,生技醫療業,2016/09/20,ESVUFR
TW0001701001,1701,中化,上市 ,股票,生技醫療業,1962/02/09,ESVUFR
TW0001707008,1707,葡萄王,上市 ,股票,生技醫療業,1982/12/20,ESVUFR
TW0001720001,1720,生達,上市 ,股票,生技醫療業,1995/12/12,ESVUFR
TW0001731008,1731,美吾華,上市 ,股票,生技醫療業,2001/09/17,ESVUFR
TW0001733004,1733,五鼎,上市 ,股票,生技醫療業,2001/09/17,ESVUFR
TW0001734002,1734,杏輝,上市 ,股票,生技醫療業,2002/08/26,ESVUFR
TW0001736007,1736,喬山,上市 ,股票,生技醫療業,2003/01/09,ESVUFR
TW0001760007,1760,寶齡富錦,上市 ,股票,生技醫療業,2018/01/23,ESVUFR
TW0001762003,1762,中化生,上市 ,股票,生技醫療業,2010/12/20,ESVUFR
TW0001783009,1783,和康生,上市 ,股票,生技醫療業,2013/12/20,ESVUFR
TW0001786002,1786,科妍,上市 ,股票,生技醫療業,2013/11/12,ESVUFR
TW0001789006,1789,神隆,上市 ,股票,生技醫療業,2011/09/29,ESVUFR
TW0001795003,1795,美時,上市 ,股票,生技醫療業,2019/12/16,ESVUFR
TW0003164000,3164,景岳,上市 ,股票,生技醫療業,2010/03/22,ESVUFR
TW0003705000,3705,永信,上市 ,股票,生技醫療業,2011/01/03,ESVUFR
TW0004104005,4104,佳醫,上市 ,股票,生技醫療業,2007/12/31,ESVUFR
TW0004106000,4106,雃博,上市 ,股票,生技醫療業,2004/11/08,ESVUFR
TW0004108006,4108,懷特,上市 ,股票,生技醫療業,2008/07/16,ESVUFR
TW0004119003,4119,旭富,上市 ,股票,生技醫療業,2004/01/07,ESVUFR
TW0004133004,4133,亞諾法,上市 ,股票,生技醫療業,2009/12/28,ESVUFR
KYG211641017,4137,麗豐-KY,上市 ,股票,生技醫療業,2013/11/27,ESVUFR
KYG7644E1098,4141,龍燈-KY,上市 ,股票,生技醫療業,2012/04/25,ESVUFR
TW0004142005,4142,國光生,上市 ,股票,生技醫療業,2012/05/03,ESVUFR
KYG0232P1072,4148,全宇生技-KY,上市 ,股票,生技醫療業,2017/06/08,ESVUFR
TW0004155007,4155,訊映,上市 ,股票,生技醫療業,2017/12/05,ESVUFR
TW0004164009,4164,承業醫,上市 ,股票,生技醫療業,2012/10/24,ESVUFR
KYG518761039,4190,佐登-KY,上市 ,股票,生技醫療業,2015/10/21,ESVUFR
TW0004737002,4737,華廣,上市 ,股票,生技醫療業,2010/12/23,ESVUFR
TW0004746003,4746,台耀,上市 ,股票,生技醫療業,2011/03/01,ESVUFR
KYG7060F1019,6452,康友-KY,上市 ,股票,生技醫療業,2015/03/25,ESVUFR
TW0006491004,6491,晶碩,上市 ,股票,生技醫療業,2019/10/07,ESVUFR
KYG8676P1037,6541,泰福-KY,上市 ,股票,生技醫療業,2017/10/26,ESVUFR
KYG0488D1051,6598,ABC-KY,上市 ,股票,生技醫療業,2020/06/09,ESVUFR
KYG569831020,6666,羅麗芬-KY,上市 ,股票,生技醫療業,2018/11/19,ESVUFR
