國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode
TW0002701000,2701,萬企,上市 ,股票,觀光事業,1965/03/22,ESVUFR
TW0002702008,2702,華園,上市 ,股票,觀光事業,1965/02/14,ESVUFR
TW0002704004,2704,國賓,上市 ,股票,觀光事業,1982/11/10,ESVUFR
TW0002705001,2705,六福,上市 ,股票,觀光事業,1988/12/24,ESVUFR
TW0002706009,2706,第一店,上市 ,股票,觀光事業,1991/06/25,ESVUFR
TW0002707007,2707,晶華,上市 ,股票,觀光事業,1998/03/09,ESVUFR
TW0002712007,2712,遠雄來,上市 ,股票,觀光事業,2013/12/03,ESVUFR
TW0002722006,2722,夏都,上市 ,股票,觀光事業,2012/03/14,ESVUFR
KYG4002A1004,2723,美食-KY,上市 ,股票,觀光事業,2010/11/22,ESVUFR
TW0002727005,2727,王品,上市 ,股票,觀光事業,2012/03/06,ESVUFR
TW0002731007,2731,雄獅,上市 ,股票,觀光事業,2013/09/24,ESVUFR
TW0002739000,2739,寒舍,上市 ,股票,觀光事業,2016/05/19,ESVUFR
TW0002748001,2748,雲品,上市 ,股票,觀光事業,2016/11/23,ESVUFR
