"109年04月 1598 岱宇             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/04/01","325,723","10,235,420","31.90","31.90","31.00","31.70","-0.20","219",
"109/04/06","419,550","13,104,925","31.70","31.95","30.80","31.45","-0.25","264",
"109/04/07","395,197","12,377,905","31.45","31.60","31.00","31.45"," 0.00","176",
"109/04/08","459,914","14,462,060","31.40","31.65","31.30","31.45"," 0.00","194",
"109/04/09","1,315,101","41,863,176","31.50","32.30","31.45","31.95","+0.50","463",
"109/04/10","2,873,229","93,856,590","33.00","33.60","31.75","33.15","+1.20","1,265",
"109/04/13","2,460,495","81,289,461","33.35","33.55","32.30","32.30","-0.85","1,219",
"109/04/14","1,544,090","50,732,170","32.50","33.35","32.50","33.05","+0.75","667",
"109/04/15","2,550,977","86,383,124","33.05","34.65","33.05","33.90","+0.85","1,324",
"109/04/16","2,024,069","69,440,083","33.95","35.00","33.60","34.55","+0.65","982",
"109/04/17","3,129,169","109,934,672","35.45","35.60","34.30","35.15","+0.60","1,332",
"109/04/20","4,895,719","177,360,661","35.50","37.85","34.90","36.80","+1.65","2,389",
"109/04/21","3,209,494","116,731,563","37.00","37.45","35.15","35.15","-1.65","1,670",
"109/04/22","3,489,000","127,832,247","35.50","37.75","34.30","37.55","+2.40","1,958",
"109/04/23","2,644,403","99,298,880","37.85","38.50","36.80","37.55"," 0.00","1,602",
"109/04/24","1,152,839","43,196,326","37.55","38.20","37.05","37.10","-0.45","715",
"109/04/27","2,168,513","81,927,039","37.45","38.40","37.00","37.70","+0.60","1,247",
"109/04/28","1,450,212","54,811,525","38.00","38.35","37.05","37.05","-0.65","885",
"109/04/29","821,513","30,469,078","37.20","37.70","36.85","36.90","-0.15","531",
"109/04/30","985,034","36,770,625","37.00","37.75","36.95","37.50","+0.60","539",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

