"10409る 1701 いて             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/09/01","357,100","5,747,730","16.10","16.25","16.00","16.10"," 0.00","184",
"104/09/02","2,034,954","33,869,319","16.00","17.20","15.80","17.00","+0.90","1,061",
"104/09/03","494,410","8,309,697","16.95","16.95","16.70","16.85","-0.15","301",
"104/09/04","646,388","10,866,700","16.85","17.05","16.55","16.55","-0.30","372",
"104/09/07","331,510","5,534,715","16.60","16.80","16.50","16.80","+0.25","180",
"104/09/08","525,748","8,951,325","17.00","17.15","16.90","16.95","+0.15","280",
"104/09/09","716,247","12,231,623","17.10","17.20","16.95","17.00","+0.05","390",
"104/09/10","1,126,715","19,529,581","17.20","17.55","17.05","17.50","+0.50","618",
"104/09/11","518,501","8,993,615","17.50","17.50","17.25","17.30","-0.20","260",
"104/09/14","478,118","8,295,385","17.50","17.50","17.25","17.25","-0.05","249",
"104/09/15","443,129","7,609,505","17.35","17.35","17.00","17.10","-0.15","251",
"104/09/16","1,818,451","32,252,921","17.15","18.20","17.15","17.80","+0.70","838",
"104/09/17","842,890","15,050,770","17.95","18.05","17.70","18.00","+0.20","393",
"104/09/18","937,700","17,005,029","17.80","18.35","17.80","18.05","+0.05","476",
"104/09/21","642,666","11,407,038","17.90","17.90","17.60","17.60","-0.45","332",
"104/09/22","685,626","12,092,858","17.60","17.80","17.50","17.70","+0.10","332",
"104/09/23","963,292","17,108,429","17.70","18.05","17.50","17.50","-0.20","477",
"104/09/24","1,570,160","27,030,499","17.50","17.75","16.95","16.95","-0.55","551",
"104/09/25","681,059","11,592,103","16.95","17.15","16.90","17.10","+0.15","299",
"104/09/30","470,057","7,988,324","17.00","17.15","16.85","17.10"," 0.00","298",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

