"108年12月 1701 中化             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/12/02","314,357","5,964,493","19.00","19.05","18.95","19.00"," 0.00","129",
"108/12/03","409,105","7,756,571","19.00","19.05","18.85","18.95","-0.05","154",
"108/12/04","244,308","4,617,986","18.95","19.00","18.80","18.95"," 0.00","129",
"108/12/05","247,570","4,700,798","19.00","19.05","18.90","19.05","+0.10","125",
"108/12/06","267,976","5,077,141","19.05","19.05","18.90","19.05"," 0.00","131",
"108/12/09","255,320","4,848,610","19.00","19.05","18.95","18.95","-0.10","97",
"108/12/10","156,802","2,977,701","18.95","19.00","18.95","19.00","+0.05","86",
"108/12/11","298,880","5,692,255","19.00","19.10","19.00","19.10","+0.10","162",
"108/12/12","295,199","5,618,840","19.10","19.10","19.00","19.10"," 0.00","124",
"108/12/13","370,776","7,062,294","19.10","19.20","19.00","19.00","-0.10","168",
"108/12/16","192,596","3,671,874","19.05","19.10","19.00","19.05","+0.05","139",
"108/12/17","291,226","5,556,203","19.05","19.15","19.00","19.05"," 0.00","159",
"108/12/18","251,430","4,803,220","19.05","19.15","19.05","19.10","+0.05","141",
"108/12/19","124,274","2,371,356","19.05","19.15","19.05","19.10"," 0.00","58",
"108/12/20","497,201","9,523,019","19.15","19.25","19.05","19.05","-0.05","249",
"108/12/23","320,152","6,124,988","19.10","19.20","19.05","19.20","+0.15","104",
"108/12/24","186,007","3,556,431","19.15","19.15","19.10","19.10","-0.10","65",
"108/12/25","182,221","3,485,999","19.15","19.15","19.10","19.15","+0.05","86",
"108/12/26","292,357","5,600,584","19.15","19.20","19.10","19.15"," 0.00","108",
"108/12/27","315,066","6,038,563","19.25","19.25","19.10","19.20","+0.05","132",
"108/12/30","188,570","3,617,289","19.15","19.25","19.15","19.20"," 0.00","82",
"108/12/31","363,163","6,968,852","19.20","19.30","19.15","19.25","+0.05","161",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

