"106年12月 1707 葡萄王           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/12/01","2,339,606","461,191,776","197.00","200.50","193.00","197.50","+2.50","1,715",
"106/12/04","4,422,279","909,087,974","198.50","212.00","196.00","207.00","+9.50","3,220",
"106/12/05","2,509,255","524,001,285","206.00","212.50","205.00","208.00","+1.00","1,963",
"106/12/06","1,891,288","385,019,100","208.50","210.00","199.00","201.00","-7.00","1,611",
"106/12/07","5,290,883","1,108,672,360","207.00","211.50","205.00","211.50","+10.50","3,291",
"106/12/08","2,546,975","531,033,300","212.00","213.00","204.00","209.00","-2.50","1,819",
"106/12/11","2,452,693","518,776,644","212.00","216.00","208.00","208.00","-1.00","1,662",
"106/12/12","1,021,074","212,889,346","209.00","211.50","207.00","207.50","-0.50","899",
"106/12/13","1,268,047","262,117,103","209.50","210.00","204.00","205.00","-2.50","983",
"106/12/14","1,436,752","291,476,904","206.50","206.50","201.00","202.00","-3.00","1,025",
"106/12/15","1,866,655","385,288,085","204.00","209.00","201.00","207.50","+5.50","1,428",
"106/12/18","2,118,231","444,147,779","206.50","211.50","206.50","209.00","+1.50","1,558",
"106/12/19","1,356,465","278,247,156","210.50","211.00","202.50","202.50","-6.50","1,154",
"106/12/20","718,363","145,513,503","203.00","205.00","201.00","202.00","-0.50","656",
"106/12/21","763,309","155,017,727","204.50","205.50","201.00","201.50","-0.50","667",
"106/12/22","460,018","93,027,118","202.00","204.00","201.00","201.00","-0.50","386",
"106/12/25","720,870","146,341,800","204.00","204.50","201.50","201.50","+0.50","594",
"106/12/26","824,105","167,631,862","203.00","206.00","201.00","204.50","+3.00","688",
"106/12/27","1,303,069","269,366,283","202.50","209.00","202.50","207.00","+2.50","1,045",
"106/12/28","809,728","168,061,468","209.00","210.00","206.00","206.00","-1.00","646",
"106/12/29","543,966","112,919,928","208.50","209.00","206.00","208.00","+2.00","469",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

