"10505る 1720 ネ笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","232,332","7,721,054","33.20","33.50","33.05","33.20","-0.10","147",
"105/05/04","297,028","9,790,915","33.30","33.50","32.65","32.65","-0.55","181",
"105/05/05","224,100","7,299,990","32.50","32.80","32.50","32.60","-0.05","161",
"105/05/06","167,930","5,485,554","32.55","32.85","32.55","32.60"," 0.00","118",
"105/05/09","159,483","5,192,471","32.75","32.80","32.40","32.40","-0.20","126",
"105/05/10","324,157","10,368,345","32.20","32.40","31.75","32.00","-0.40","215",
"105/05/11","193,350","6,252,320","32.30","32.45","32.20","32.30","+0.30","141",
"105/05/12","194,000","6,232,200","31.75","32.35","31.75","32.00","-0.30","139",
"105/05/13","257,892","8,172,279","31.90","32.00","31.55","31.60","-0.40","198",
"105/05/16","490,210","15,487,849","31.50","31.95","30.90","31.80","+0.20","337",
"105/05/17","297,773","9,613,815","32.15","32.75","31.90","32.75","+0.95","219",
"105/05/18","262,096","8,515,970","32.65","32.75","32.20","32.30","-0.45","170",
"105/05/19","281,362","9,131,927","32.55","32.80","32.10","32.10","-0.20","193",
"105/05/20","235,100","7,586,965","32.70","32.70","32.10","32.15","+0.05","150",
"105/05/23","568,360","18,637,830","32.30","33.20","32.10","33.20","+1.05","352",
"105/05/24","402,230","13,167,771","33.20","33.20","32.55","32.70","-0.50","259",
"105/05/25","324,032","10,605,999","32.90","33.10","32.55","32.70"," 0.00","215",
"105/05/26","258,068","8,415,629","32.75","32.90","32.45","32.50","-0.20","166",
"105/05/27","300,348","9,778,560","32.50","32.70","32.40","32.50"," 0.00","170",
"105/05/30","1,403,816","47,704,312","32.65","35.00","32.65","34.70","+2.20","964",
"105/05/31","576,054","19,709,488","34.70","34.70","33.95","34.10","-0.60","418",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

