"107年03月 1720 生達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","141,066","4,648,518","32.70","33.10","32.70","32.90","+0.20","126",
"107/03/02","178,500","5,847,800","32.80","32.85","32.70","32.75","-0.15","124",
"107/03/05","332,822","10,828,380","32.90","32.90","32.30","32.40","-0.35","226",
"107/03/06","57,321","1,869,247","32.70","32.75","32.50","32.65","+0.25","49",
"107/03/07","284,936","9,402,153","32.60","33.15","32.60","32.90","+0.25","212",
"107/03/08","294,500","9,738,499","33.05","33.25","32.85","32.90"," 0.00","170",
"107/03/09","197,100","6,518,190","33.00","33.20","32.90","33.10","+0.20","129",
"107/03/12","577,870","19,379,733","33.30","33.80","33.30","33.40","+0.30","378",
"107/03/13","150,448","5,009,522","33.40","33.45","33.20","33.20","-0.20","137",
"107/03/14","168,156","5,588,193","33.15","33.35","33.10","33.15","-0.05","136",
"107/03/15","218,203","7,284,349","33.35","33.50","33.15","33.35","+0.20","154",
"107/03/16","219,500","7,336,050","33.45","33.55","33.30","33.45","+0.10","141",
"107/03/19","356,590","11,968,033","33.70","33.75","33.35","33.55","+0.10","198",
"107/03/20","278,209","9,402,243","33.60","33.95","33.50","33.95","+0.40","192",
"107/03/21","627,658","21,594,167","34.10","34.60","34.05","34.50","+0.55","424",
"107/03/22","435,901","14,948,434","34.50","34.75","34.00","34.00","-0.50","294",
"107/03/23","238,425","7,990,037","33.50","33.65","33.20","33.50","-0.50","178",
"107/03/26","481,605","16,508,471","33.50","34.60","33.40","34.55","+1.05","342",
"107/03/27","413,660","14,255,220","34.65","34.85","34.20","34.70","+0.15","282",
"107/03/28","246,520","8,481,915","34.60","34.70","34.20","34.50","-0.20","191",
"107/03/29","518,179","18,174,384","34.90","35.35","34.60","35.05","+0.55","361",
"107/03/30","424,088","14,850,930","35.15","35.45","34.60","34.80","-0.25","292",
"107/03/31","158,534","5,510,660","34.80","34.90","34.60","34.60","-0.20","116",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

