"10411る 1731 地           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","257,050","3,565,089","13.90","14.10","13.75","13.85","-0.05","82",
"104/11/03","155,200","2,151,437","13.90","14.00","13.80","13.85"," 0.00","75",
"104/11/04","206,844","2,881,239","13.95","14.05","13.85","13.90","+0.05","98",
"104/11/05","521,750","7,357,523","13.90","14.25","13.90","14.15","+0.25","229",
"104/11/06","238,008","3,331,060","14.00","14.20","13.90","13.90","-0.25","88",
"104/11/09","270,137","3,714,613","14.05","14.05","13.65","13.70","-0.20","132",
"104/11/10","306,025","4,179,641","13.80","13.80","13.50","13.75","+0.05","73",
"104/11/11","179,005","2,452,965","13.75","13.90","13.60","13.60","-0.15","67",
"104/11/12","220,254","2,977,502","13.60","13.70","13.40","13.50","-0.10","107",
"104/11/13","87,509","1,185,040","13.40","13.65","13.40","13.55","+0.05","42",
"104/11/16","136,605","1,843,944","13.40","13.65","13.30","13.65","+0.10","79",
"104/11/17","139,129","1,897,338","13.65","13.75","13.45","13.55","-0.10","77",
"104/11/18","464,243","6,386,512","13.75","13.85","13.60","13.75","+0.20","151",
"104/11/19","372,504","5,204,401","13.85","14.10","13.80","13.95","+0.20","204",
"104/11/20","3,284,668","48,261,314","14.10","15.30","13.90","15.30","+1.35","1,111",
"104/11/23","4,434,013","70,470,791","16.10","16.30","15.30","15.35","+0.05","1,619",
"104/11/24","2,655,216","39,189,780","15.35","15.50","15.05","15.30","-0.05","601",
"104/11/25","4,195,050","64,716,942","15.30","16.05","14.85","14.90","-0.40","1,534",
"104/11/26","1,164,763","17,445,417","15.05","15.20","14.85","14.90"," 0.00","498",
"104/11/27","649,176","9,648,332","14.90","15.10","14.70","14.70","-0.20","306",
"104/11/30","683,321","9,961,267","14.65","14.80","14.40","14.40","-0.30","312",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

