"105年11月 1731 美吾華           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/11/01","148,447","1,936,934","13.00","13.10","13.00","13.00"," 0.00","47",
"105/11/02","102,002","1,324,276","12.95","13.00","12.90","12.95","-0.05","42",
"105/11/03","109,000","1,406,100","12.90","12.90","12.90","12.90","-0.05","47",
"105/11/04","144,898","1,878,330","12.85","13.00","12.85","12.95","+0.05","69",
"105/11/07","176,206","2,287,167","12.95","13.05","12.90","13.00","+0.05","58",
"105/11/08","89,354","1,161,864","13.05","13.05","12.95","13.00"," 0.00","34",
"105/11/09","417,251","5,334,573","12.95","13.00","12.65","12.65","-0.35","117",
"105/11/10","212,098","2,761,374","12.90","13.10","12.90","13.00","+0.35","98",
"105/11/11","191,401","2,495,422","13.00","13.10","12.95","13.05","+0.05","77",
"105/11/14","95,203","1,236,589","12.90","13.05","12.90","13.00","-0.05","46",
"105/11/15","138,003","1,806,839","13.10","13.10","13.05","13.10","+0.10","75",
"105/11/16","357,210","4,713,232","13.10","13.25","13.10","13.25","+0.15","145",
"105/11/17","265,547","3,521,991","13.25","13.30","13.20","13.25"," 0.00","101",
"105/11/18","1,255,175","17,032,161","13.35","13.80","13.35","13.50","+0.25","512",
"105/11/21","200,025","2,680,032","13.50","13.55","13.30","13.35","-0.15","79",
"105/11/22","448,002","5,937,126","13.45","13.50","13.10","13.15","-0.20","184",
"105/11/23","143,001","1,890,263","13.25","13.30","13.15","13.25","+0.10","82",
"105/11/24","132,100","1,747,424","13.25","13.30","13.15","13.30","+0.05","76",
"105/11/25","97,372","1,285,409","13.30","13.30","13.15","13.25","-0.05","35",
"105/11/28","148,126","1,969,324","13.25","13.35","13.20","13.35","+0.10","64",
"105/11/29","154,000","2,056,900","13.30","13.40","13.30","13.40","+0.05","64",
"105/11/30","206,186","2,762,201","13.40","13.45","13.35","13.35","-0.05","86",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

