"10411る 1733 き供             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","55,001","2,332,642","42.25","42.70","42.00","42.60","+0.35","43",
"104/11/03","95,632","4,113,292","42.80","43.20","42.80","42.95","+0.35","78",
"104/11/04","88,655","3,809,797","43.00","43.30","42.60","42.90","-0.05","78",
"104/11/05","36,550","1,563,265","42.45","43.00","42.45","42.85","-0.05","37",
"104/11/06","63,100","2,701,555","42.85","42.95","42.55","42.65","-0.20","54",
"104/11/09","80,874","3,428,780","42.95","42.95","42.00","42.20","-0.45","73",
"104/11/10","33,250","1,405,074","42.20","42.50","42.00","42.30","+0.10","32",
"104/11/11","59,151","2,487,684","42.30","42.30","41.60","41.95","-0.35","39",
"104/11/12","171,175","7,238,296","42.00","42.90","41.90","42.85","+0.90","120",
"104/11/13","221,675","9,625,957","44.10","44.10","42.80","42.90","+0.05","182",
"104/11/16","176,118","7,642,203","42.90","43.80","42.35","43.55","+0.65","130",
"104/11/17","635,954","28,848,854","44.10","46.95","44.00","46.05","+2.50","428",
"104/11/18","1,097,735","52,772,214","46.50","49.90","46.05","48.80","+2.75","818",
"104/11/19","1,804,045","91,905,826","49.60","52.60","49.20","51.80","+3.00","1,354",
"104/11/20","1,376,985","71,907,835","51.80","53.60","51.10","51.10","-0.70","943",
"104/11/23","1,242,887","65,059,224","52.00","53.00","52.00","52.00","+0.90","711",
"104/11/24","715,858","37,189,016","52.00","52.50","51.20","52.10","+0.10","470",
"104/11/25","462,286","23,863,297","52.10","52.30","51.20","51.30","-0.80","304",
"104/11/26","590,687","30,473,914","51.70","52.40","50.90","51.70","+0.40","407",
"104/11/27","367,220","18,907,692","52.00","52.50","50.90","51.00","-0.70","249",
"104/11/30","317,352","16,057,965","50.40","51.30","50.20","50.20","-0.80","248",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

