"107年07月 1733 五鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","218,560","6,334,390","28.90","29.10","28.85","29.00","+0.30","164",
"107/07/03","470,099","13,511,621","28.90","29.00","28.60","28.65","-0.35","272",
"107/07/04","324,275","8,893,900","27.30","27.60","27.25","27.45","X0.00","236",
"107/07/05","200,454","5,474,262","27.50","27.50","27.15","27.15","-0.30","117",
"107/07/06","265,282","7,224,101","27.20","27.45","27.10","27.35","+0.20","136",
"107/07/09","132,706","3,610,972","27.30","27.35","27.15","27.25","-0.10","83",
"107/07/10","131,000","3,562,050","27.25","27.30","27.10","27.25"," 0.00","80",
"107/07/11","70,502","1,919,951","27.10","27.30","27.10","27.20","-0.05","56",
"107/07/12","950,356","26,474,257","27.20","28.10","27.20","27.80","+0.60","370",
"107/07/13","152,059","4,232,080","28.00","28.00","27.70","27.70","-0.10","104",
"107/07/16","103,120","2,883,652","28.00","28.10","27.75","27.90","+0.20","79",
"107/07/17","338,200","9,566,868","28.20","28.50","28.10","28.35","+0.45","227",
"107/07/18","222,000","6,259,750","28.60","28.60","28.05","28.10","-0.25","129",
"107/07/19","132,407","3,740,268","28.15","28.35","28.15","28.20","+0.10","82",
"107/07/20","115,001","3,246,328","28.30","28.40","28.15","28.20"," 0.00","70",
"107/07/23","119,483","3,366,974","28.40","28.40","28.05","28.05","-0.15","73",
"107/07/24","134,457","3,779,190","28.25","28.25","28.05","28.05"," 0.00","82",
"107/07/25","68,100","1,913,654","28.30","28.30","28.05","28.05"," 0.00","51",
"107/07/26","496,876","14,096,828","28.05","28.50","28.00","28.30","+0.25","186",
"107/07/27","152,880","4,301,674","28.40","28.40","28.05","28.05","-0.25","89",
"107/07/30","151,768","4,255,327","28.05","28.15","28.00","28.10","+0.05","100",
"107/07/31","99,130","2,778,540","28.10","28.10","28.00","28.00","-0.10","63",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

