"109年07月 1734 杏輝             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/07/01","8,859,728","305,984,141","34.30","35.30","33.70","34.25","+0.75","5,184",
"109/07/02","14,110,746","520,664,003","35.35","37.65","34.80","37.65","+3.40","6,795",
"109/07/03","26,297,572","1,071,450,220","38.70","41.40","38.70","41.40","+3.75","11,688",
"109/07/06","4,128,047","187,826,111","45.50","45.50","45.50","45.50","+4.10","1,946",
"109/07/07","2,104,447","105,222,350","50.00","50.00","50.00","50.00","+4.50","1,049",
"109/07/08","1,149,585","63,227,175","55.00","55.00","55.00","55.00","+5.00","600",
"109/07/09","1,291,945","78,162,626","60.50","60.50","60.50","60.50","+5.50","1,116",
"109/07/10","34,467,798","2,260,823,889","66.50","66.50","61.00","66.50","+6.00","22,466",
"109/07/13","19,211,001","1,214,997,561","68.50","68.50","60.00","60.00","-6.50","12,807",
"109/07/14","1,977,996","106,883,284","54.10","54.10","54.00","54.00","-6.00","1,124",
"109/07/15","10,858,343","547,723,893","48.60","54.00","48.60","49.30","-4.70","5,692",
"109/07/16","6,539,115","319,672,740","50.00","52.10","45.00","45.70","-3.60","3,181",
"109/07/17","3,033,283","127,856,680","46.80","46.80","41.15","41.15","-4.55","1,507",
"109/07/20","6,430,868","243,246,517","37.20","40.80","37.05","37.05","-4.10","3,191",
"109/07/21","5,083,357","190,715,172","38.00","40.00","34.00","35.30","-1.75","2,608",
"109/07/22","1,482,412","56,879,877","36.85","38.80","36.85","38.80","+3.50","592",
"109/07/23","7,340,327","295,907,607","42.45","42.45","38.60","41.00","X0.00","3,339",
"109/07/24","1,934,117","76,493,163","39.70","40.00","39.00","39.40","-1.60","1,088",
"109/07/27","2,679,913","96,682,422","40.45","40.45","35.50","35.80","-3.60","1,327",
"109/07/28","3,381,354","111,992,799","34.20","34.20","32.25","32.25","-3.55","1,647",
"109/07/29","4,169,445","144,505,460","31.70","35.45","31.70","35.45","+3.20","1,522",
"109/07/30","2,459,781","95,051,309","38.00","38.95","38.00","38.95","+3.50","813",
"109/07/31","5,960,765","241,377,259","40.95","41.80","38.00","41.80","+2.85","2,868",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

