"109年12月 1736 喬山             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/12/01","1,765,892","144,834,686","82.20","83.20","80.50","83.00","+0.80","1,220",
"109/12/02","3,288,326","276,309,438","83.10","85.20","82.50","85.20","+2.20","2,320",
"109/12/03","3,286,386","275,957,033","84.50","85.00","82.50","85.00","-0.20","2,213",
"109/12/04","1,855,136","158,312,845","84.90","86.50","84.30","84.80","-0.20","1,308",
"109/12/07","1,354,475","113,767,673","85.00","85.50","83.50","83.80","-1.00","1,054",
"109/12/08","3,337,375","285,778,542","85.00","86.50","84.40","85.50","+1.70","2,292",
"109/12/09","5,952,303","530,800,833","85.60","91.70","85.60","88.60","+3.10","4,359",
"109/12/10","2,682,863","239,689,562","88.60","90.90","87.60","90.50","+1.90","1,944",
"109/12/11","3,192,714","282,091,347","89.90","91.30","86.10","88.00","-2.50","2,233",
"109/12/14","1,583,477","141,261,831","88.30","90.60","87.00","89.20","+1.20","1,124",
"109/12/15","1,956,438","174,283,379","89.20","90.20","88.00","90.00","+0.80","1,398",
"109/12/16","3,962,917","364,215,457","91.30","93.80","90.20","92.30","+2.30","2,813",
"109/12/17","6,380,622","602,222,667","92.70","96.40","91.60","93.80","+1.50","4,388",
"109/12/18","4,900,481","472,433,128","94.30","98.00","94.30","97.70","+3.90","3,597",
"109/12/21","5,863,052","577,152,928","97.70","99.80","96.30","98.50","+0.80","4,473",
"109/12/22","9,530,868","922,462,056","98.50","102.00","89.70","93.50","-5.00","6,368",
"109/12/23","4,862,195","465,180,677","94.50","97.80","92.70","96.90","+3.40","3,440",
"109/12/24","4,305,631","404,701,632","96.30","98.00","92.00","92.50","-4.40","3,207",
"109/12/25","2,837,398","262,426,909","92.70","94.10","90.20","92.60","+0.10","2,018",
"109/12/28","1,506,387","138,915,411","93.40","93.70","91.60","91.70","-0.90","1,121",
"109/12/29","3,030,357","272,164,615","92.20","92.70","88.30","89.20","-2.50","2,142",
"109/12/30","1,589,919","144,400,695","88.90","91.60","88.90","91.30","+2.10","1,247",
"109/12/31","1,681,323","155,748,272","91.50","94.00","91.10","92.60","+1.30","1,256",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

