"108年04月 1760 寶齡富錦         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","877,812","96,613,790","113.00","113.00","108.50","109.00","-2.00","975",
"108/04/02","1,171,692","126,162,044","108.50","109.50","105.50","107.50","-1.50","895",
"108/04/03","1,586,643","175,778,087","109.50","113.50","108.50","109.00","+1.50","1,328",
"108/04/08","1,116,035","119,609,859","110.00","110.50","106.00","106.50","-2.50","924",
"108/04/09","891,251","96,742,228","108.00","110.00","107.00","108.50","+2.00","785",
"108/04/10","1,135,894","121,355,764","109.00","109.50","105.50","106.50","-2.00","895",
"108/04/11","871,618","91,450,578","107.00","107.00","104.00","104.00","-2.50","692",
"108/04/12","1,659,103","169,462,242","104.50","105.50","100.50","100.50","-3.50","1,232",
"108/04/15","1,060,444","106,940,620","101.50","102.00","100.00","101.00","+0.50","879",
"108/04/16","2,853,249","278,429,045","101.00","101.50","94.80","98.10","-2.90","2,361",
"108/04/17","1,053,173","103,629,300","98.70","99.60","97.50","97.60","-0.50","876",
"108/04/18","1,281,014","122,537,986","97.90","98.00","94.40","94.40","-3.20","1,079",
"108/04/19","1,763,340","170,359,720","96.30","98.10","95.20","96.40","+2.00","1,386",
"108/04/22","1,908,069","186,955,500","96.10","99.80","96.10","98.50","+2.10","1,465",
"108/04/23","1,485,482","142,900,526","99.00","99.00","94.80","95.20","-3.30","1,168",
"108/04/24","1,253,649","120,044,437","95.70","97.50","94.50","94.90","-0.30","963",
"108/04/25","1,288,469","122,210,217","95.40","96.50","93.50","95.90","+1.00","1,008",
"108/04/26","691,580","65,527,409","95.70","95.90","94.10","94.10","-1.80","579",
"108/04/29","602,055","56,801,104","94.10","95.50","93.60","93.60","-0.50","459",
"108/04/30","972,723","92,643,836","94.00","96.50","93.80","96.50","+2.90","763",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

