"10412る 1762 いてネ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","1,913,916","80,208,374","41.20","42.40","41.20","42.20","+1.60","1,212",
"104/12/02","1,424,848","59,987,232","42.40","42.70","41.60","41.70","-0.50","922",
"104/12/03","3,267,377","139,571,794","41.70","43.70","41.30","41.80","+0.10","2,001",
"104/12/04","889,024","37,049,492","41.20","42.20","41.10","41.50","-0.30","579",
"104/12/07","817,112","34,306,304","41.90","42.35","41.60","41.70","+0.20","655",
"104/12/08","6,089,377","266,860,448","42.40","45.50","41.80","44.85","+3.15","3,527",
"104/12/09","3,633,611","154,674,114","44.85","45.05","40.45","40.70","-4.15","2,241",
"104/12/10","1,441,031","59,169,302","40.70","42.20","39.50","41.65","+0.95","969",
"104/12/11","1,592,710","63,503,552","42.00","42.00","38.10","38.10","-3.55","1,009",
"104/12/14","1,097,307","41,779,017","36.50","39.40","36.35","38.80","+0.70","774",
"104/12/15","1,326,004","53,195,914","39.50","40.95","39.15","40.70","+1.90","909",
"104/12/16","1,431,501","58,780,439","41.15","41.60","40.40","40.85","+0.15","942",
"104/12/17","1,161,103","48,331,382","41.25","42.25","41.05","41.50","+0.65","754",
"104/12/18","713,107","29,174,837","41.00","41.30","40.60","40.70","-0.80","492",
"104/12/21","569,718","23,108,764","40.50","41.05","40.20","40.35","-0.35","390",
"104/12/22","770,003","31,453,420","40.60","41.30","40.30","40.40","+0.05","460",
"104/12/23","887,004","35,953,460","41.05","41.30","39.85","39.85","-0.55","563",
"104/12/24","819,500","32,054,550","39.95","40.40","38.60","39.00","-0.85","598",
"104/12/25","336,100","13,178,028","39.00","39.50","38.70","39.50","+0.50","249",
"104/12/28","267,013","10,471,857","39.20","39.55","39.00","39.15","-0.35","191",
"104/12/29","383,150","15,002,962","39.00","39.50","38.70","39.00","-0.15","278",
"104/12/30","269,247","10,604,008","39.50","39.75","39.00","39.15","+0.15","202",
"104/12/31","204,105","8,022,045","39.50","39.50","39.05","39.45","+0.30","155",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

