"106年09月 1762 中化生           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","150,001","3,419,473","22.75","23.00","22.70","22.95","+0.25","84",
"106/09/04","105,001","2,401,422","22.95","22.95","22.80","22.80","-0.15","66",
"106/09/05","64,093","1,465,171","22.80","23.00","22.75","22.85","+0.05","48",
"106/09/06","196,000","4,508,500","22.90","23.15","22.90","22.90","+0.05","86",
"106/09/07","180,104","4,170,556","23.00","23.25","23.00","23.15","+0.25","99",
"106/09/08","48,100","1,113,779","23.30","23.30","23.10","23.25","+0.10","33",
"106/09/11","145,050","3,361,007","23.30","23.30","23.10","23.15","-0.10","73",
"106/09/12","48,025","1,112,628","23.20","23.20","23.15","23.15"," 0.00","35",
"106/09/13","91,230","2,089,790","23.10","23.20","22.75","22.80","-0.35","60",
"106/09/14","90,001","2,047,922","22.75","22.80","22.70","22.75","-0.05","47",
"106/09/15","60,000","1,361,850","22.75","22.90","22.65","22.65","-0.10","33",
"106/09/18","46,001","1,043,022","22.70","22.75","22.60","22.75","+0.10","39",
"106/09/19","62,000","1,405,950","22.80","22.80","22.60","22.65","-0.10","33",
"106/09/20","96,378","2,164,578","22.60","22.70","22.35","22.40","-0.25","79",
"106/09/21","73,000","1,635,900","22.75","22.75","22.25","22.30","-0.10","52",
"106/09/22","66,000","1,465,250","22.30","22.45","22.10","22.30"," 0.00","52",
"106/09/25","164,002","3,611,794","22.15","22.20","21.90","22.00","-0.30","107",
"106/09/26","80,000","1,755,050","22.00","22.10","21.85","21.90","-0.10","63",
"106/09/27","37,000","811,700","22.00","22.05","21.90","21.90"," 0.00","32",
"106/09/28","24,123","528,291","22.00","22.00","21.85","21.90"," 0.00","23",
"106/09/29","74,001","1,608,221","21.80","21.80","21.70","21.75","-0.15","53",
"106/09/30","35,002","766,394","21.80","22.10","21.80","21.90","+0.15","27",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

