"10411る 1783 ㎝眃ネ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","973,005","25,398,785","24.90","27.25","24.70","27.00","+2.20","587",
"104/11/03","910,001","24,313,479","27.50","27.50","26.15","26.70","-0.30","591",
"104/11/04","500,191","13,383,953","27.10","27.40","26.30","26.30","-0.40","338",
"104/11/05","317,000","8,433,400","26.35","26.85","26.35","26.60","+0.30","197",
"104/11/06","376,000","9,872,850","27.00","27.00","25.50","26.70","+0.10","222",
"104/11/09","215,002","5,555,058","26.70","26.70","25.15","25.30","-1.40","163",
"104/11/10","117,114","2,947,278","24.85","25.45","24.85","25.10","-0.20","202",
"104/11/11","151,063","3,796,551","25.60","25.75","24.40","24.55","-0.55","162",
"104/11/12","162,069","3,966,194","24.95","24.95","24.10","24.40","-0.15","170",
"104/11/13","65,097","1,592,022","24.10","24.90","24.10","24.30","-0.10","139",
"104/11/16","113,016","2,744,466","24.35","24.50","23.65","24.35","+0.05","82",
"104/11/17","139,062","3,477,262","25.75","25.75","24.80","24.85","+0.50","147",
"104/11/18","298,017","7,634,542","25.60","26.00","25.10","25.35","+0.50","240",
"104/11/19","2,284,547","62,137,393","25.50","27.85","25.50","26.90","+1.55","1,142",
"104/11/20","1,227,250","33,035,670","27.10","27.45","26.35","26.90"," 0.00","784",
"104/11/23","411,326","10,944,770","27.00","27.30","26.20","26.20","-0.70","262",
"104/11/24","1,335,702","36,613,791","26.30","28.10","26.30","27.20","+1.00","810",
"104/11/25","512,003","13,839,187","27.40","27.70","26.60","26.80","-0.40","283",
"104/11/26","864,298","23,726,088","27.00","27.85","26.80","27.50","+0.70","573",
"104/11/27","976,290","27,597,780","27.70","29.35","27.15","27.15","-0.35","678",
"104/11/30","1,004,009","25,627,593","27.00","27.05","24.50","24.55","-2.60","617",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

