"109年10月 1783 和康生           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/10/05","149,174","3,484,126","23.40","23.60","22.90","23.45","+0.30","90",
"109/10/06","107,076","2,507,358","23.50","23.60","23.05","23.55","+0.10","70",
"109/10/07","90,000","2,107,400","23.55","23.55","23.30","23.35","-0.20","41",
"109/10/08","77,008","1,792,300","23.35","23.40","23.15","23.20","-0.15","59",
"109/10/12","96,003","2,226,969","23.30","23.30","23.00","23.20"," 0.00","54",
"109/10/13","107,001","2,453,123","23.20","23.20","22.50","22.95","-0.25","64",
"109/10/14","138,000","3,201,200","22.95","23.40","22.95","23.15","+0.20","73",
"109/10/15","101,000","2,313,000","23.15","23.15","22.65","22.90","-0.25","72",
"109/10/16","612,138","14,213,107","22.90","23.45","22.80","22.95","+0.05","170",
"109/10/19","71,001","1,634,423","23.10","23.15","22.85","23.05","+0.10","48",
"109/10/20","106,543","2,444,089","23.05","23.05","22.75","23.00","-0.05","73",
"109/10/21","78,818","1,813,814","22.90","23.10","22.85","23.00"," 0.00","51",
"109/10/22","74,000","1,694,900","23.00","23.00","22.85","22.90","-0.10","44",
"109/10/23","89,002","2,040,350","22.95","23.00","22.80","22.80","-0.10","54",
"109/10/26","58,008","1,322,289","22.85","22.90","22.65","22.70","-0.10","55",
"109/10/27","52,002","1,175,296","22.70","22.70","22.40","22.60","-0.10","43",
"109/10/28","95,004","2,142,939","22.65","22.70","22.35","22.45","-0.15","66",
"109/10/29","1,203,000","27,084,700","22.00","22.80","22.00","22.45"," 0.00","272",
"109/10/30","107,225","2,397,233","22.50","22.50","22.10","22.15","-0.30","77",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

