"10406る 1786 О             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","122,890","9,024,600","74.60","74.90","72.80","73.00","-1.60","104",
"104/06/02","76,865","5,643,600","72.80","73.90","72.80","73.10","+0.10","76",
"104/06/03","182,221","13,513,803","73.10","75.50","73.00","73.20","+0.10","163",
"104/06/04","921,309","62,310,252","71.10","72.50","65.90","65.90","-7.30","722",
"104/06/05","776,205","48,707,024","65.90","65.90","61.70","62.10","-3.80","597",
"104/06/08","530,684","33,158,624","61.00","64.00","61.00","61.00","-1.10","340",
"104/06/09","458,532","27,420,324","62.80","63.50","57.00","57.00","-4.00","388",
"104/06/10","428,574","24,875,195","57.10","59.40","56.00","58.90","+1.90","325",
"104/06/11","224,367","13,263,653","59.60","60.10","58.20","58.50","-0.40","183",
"104/06/12","378,900","23,055,049","58.30","62.30","58.30","61.50","+3.00","311",
"104/06/15","293,140","18,363,951","62.90","63.50","61.80","62.20","+0.70","234",
"104/06/16","143,290","8,693,243","62.20","62.20","59.90","60.50","-1.70","122",
"104/06/17","144,524","8,791,595","60.80","61.40","60.10","60.30","-0.20","108",
"104/06/18","146,501","9,061,660","60.90","62.70","60.90","62.50","+2.20","136",
"104/06/22","151,508","9,607,299","63.80","64.40","62.80","62.90","+0.40","122",
"104/06/23","315,070","19,993,916","63.60","64.70","62.10","62.10","-0.80","239",
"104/06/24","174,071","10,635,488","62.00","62.50","60.50","60.50","-1.60","116",
"104/06/25","246,201","14,833,060","60.80","61.80","59.70","60.00","-0.50","203",
"104/06/26","208,070","12,666,735","60.00","61.20","59.80","60.90","+0.90","150",
"104/06/29","1,021,491","67,550,146","62.60","66.90","62.60","66.90","+6.00","561",
"104/06/30","1,706,980","115,669,720","69.40","69.50","64.20","64.20","-2.70","1,215",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

