"108年04月 1786 科妍             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","213,256","15,319,738","72.40","72.40","71.60","71.70"," 0.00","201",
"108/04/02","399,627","28,688,547","72.20","72.80","71.00","72.20","+0.50","304",
"108/04/03","2,796,635","206,250,102","72.60","74.70","72.30","72.50","+0.30","1,859",
"108/04/08","379,407","27,491,404","72.60","73.00","72.10","72.30","-0.20","367",
"108/04/09","592,801","42,904,272","72.50","73.00","72.00","72.00","-0.30","501",
"108/04/10","429,410","30,827,920","72.50","72.50","71.50","71.70","-0.30","340",
"108/04/11","484,533","35,078,303","71.80","73.10","71.70","71.90","+0.20","410",
"108/04/12","271,024","19,432,406","72.40","72.50","71.30","71.30","-0.60","215",
"108/04/15","573,042","40,504,550","71.60","71.70","70.30","70.70","-0.60","412",
"108/04/16","603,070","41,995,745","70.80","70.80","69.30","69.30","-1.40","469",
"108/04/17","556,305","38,290,595","69.30","69.70","68.50","68.90","-0.40","443",
"108/04/18","443,300","30,852,012","69.00","70.10","69.00","69.70","+0.80","362",
"108/04/19","341,552","23,992,340","70.10","70.90","69.60","69.70"," 0.00","287",
"108/04/22","168,277","11,801,890","69.70","70.40","69.70","70.00","+0.30","208",
"108/04/23","177,324","12,395,280","70.00","70.40","69.40","70.00"," 0.00","153",
"108/04/24","1,609,259","116,834,789","73.30","73.90","70.90","70.90","+0.90","1,247",
"108/04/25","270,904","19,277,807","71.10","71.80","70.80","71.10","+0.20","216",
"108/04/26","460,148","32,854,836","71.30","72.20","70.80","70.80","-0.30","346",
"108/04/29","389,414","27,046,170","71.10","71.10","68.80","68.90","-1.90","308",
"108/04/30","209,049","14,384,181","69.10","69.30","68.60","68.90"," 0.00","171",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

