"104年09月 1789 神隆             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"104/09/01","2,976,968","109,042,165","37.10","37.45","35.85","35.90","-1.20","1,818",
"104/09/02","3,001,999","109,762,309","35.30","37.25","35.30","36.70","+0.80","1,942",
"104/09/03","1,494,685","54,765,702","37.00","37.10","36.20","36.75","+0.05","921",
"104/09/04","3,520,399","132,305,765","36.70","38.50","36.60","36.60","-0.15","2,226",
"104/09/07","1,301,604","47,410,194","36.40","37.00","35.85","36.50","-0.10","916",
"104/09/08","1,923,210","71,895,207","36.65","37.90","36.65","37.20","+0.70","1,249",
"104/09/09","1,954,040","73,454,039","37.75","38.00","37.30","37.40","+0.20","1,124",
"104/09/10","2,773,048","105,784,563","37.20","38.75","37.10","37.85","+0.45","1,685",
"104/09/11","1,533,042","58,003,595","38.10","38.10","37.50","37.70","-0.15","1,123",
"104/09/14","1,573,640","59,691,446","38.30","38.40","37.55","37.95","+0.25","1,132",
"104/09/15","2,884,862","111,201,155","38.25","39.00","38.05","38.10","+0.15","1,787",
"104/09/16","9,469,879","379,898,913","38.60","41.35","38.50","40.55","+2.45","5,541",
"104/09/17","6,770,217","278,699,850","41.20","42.00","40.55","41.00","+0.45","3,854",
"104/09/18","5,141,017","214,978,812","41.05","42.40","40.75","41.85","+0.85","3,121",
"104/09/21","3,585,737","148,747,881","41.50","42.20","40.95","41.05","-0.80","2,175",
"104/09/22","2,274,149","92,991,524","41.20","41.50","40.50","40.90","-0.15","1,484",
"104/09/23","3,563,910","145,778,250","40.60","41.90","39.85","39.90","-1.00","2,207",
"104/09/24","3,655,951","142,625,871","39.90","40.25","38.50","38.50","-1.40","2,258",
"104/09/25","1,824,775","70,963,376","38.50","39.80","38.25","39.35","+0.85","1,352",
"104/09/30","2,149,835","84,580,130","38.90","39.95","38.65","39.00","-0.35","1,494",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

