"109年07月 1795 美時             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/07/01","1,336,350","111,655,529","84.00","84.20","82.90","83.40","-0.30","999",
"109/07/02","1,959,200","164,752,800","83.60","85.20","83.30","83.60","+0.20","1,435",
"109/07/03","1,929,630","159,067,744","83.60","84.20","81.70","82.00","-1.60","1,508",
"109/07/06","1,483,909","121,875,806","82.00","82.80","81.70","82.30","+0.30","1,090",
"109/07/07","1,411,100","115,612,649","83.00","83.20","81.20","81.30","-1.00","1,085",
"109/07/08","2,574,098","214,579,432","82.00","84.30","81.70","83.60","+2.30","1,854",
"109/07/09","7,235,726","629,301,707","84.50","89.50","83.80","87.50","+3.90","5,404",
"109/07/10","4,698,500","403,753,100","88.80","89.90","83.90","84.40","-3.10","3,577",
"109/07/13","2,805,551","242,013,286","87.10","87.90","85.30","85.40","+1.00","2,016",
"109/07/14","2,198,115","188,388,861","86.00","87.40","84.30","84.80","-0.60","1,689",
"109/07/15","2,297,800","192,119,700","85.60","85.90","82.30","82.50","-2.30","1,693",
"109/07/16","1,230,609","101,800,856","83.30","83.90","82.00","82.50"," 0.00","963",
"109/07/17","2,792,500","224,672,999","82.80","83.20","79.00","79.60","-2.90","2,041",
"109/07/20","2,165,050","171,131,905","80.00","81.50","77.30","81.40","+1.80","1,637",
"109/07/21","1,176,977","96,576,814","80.80","82.90","80.80","82.00","+0.60","914",
"109/07/22","2,104,805","176,122,895","82.10","84.70","82.10","83.90","+1.90","1,602",
"109/07/23","1,254,163","103,985,996","84.80","84.80","82.10","82.20","-1.70","912",
"109/07/24","1,088,100","87,961,330","82.40","82.40","79.90","80.50","-1.70","808",
"109/07/27","2,235,962","175,063,524","81.00","81.00","77.30","78.20","-2.30","1,583",
"109/07/28","1,884,673","145,325,449","78.20","78.80","76.00","76.40","-1.80","1,446",
"109/07/29","993,715","77,268,570","76.00","78.70","76.00","78.00","+1.60","784",
"109/07/30","608,010","47,617,888","78.70","79.10","77.70","78.30","+0.30","460",
"109/07/31","749,505","58,421,490","78.30","78.70","77.30","78.00","-0.30","593",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

