"10504る 2701 窾             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/04/01","15,672","227,705","14.55","14.55","14.50","14.55"," 0.00","19",
"105/04/06","35,537","513,560","14.50","14.50","14.40","14.50","-0.05","28",
"105/04/07","10,842","156,965","14.50","14.50","14.45","14.50"," 0.00","12",
"105/04/08","90,473","1,318,357","14.45","14.65","14.45","14.60","+0.10","33",
"105/04/11","13,601","198,063","14.50","14.65","14.50","14.60"," 0.00","14",
"105/04/12","87,181","1,269,273","14.65","14.70","14.45","14.50","-0.10","34",
"105/04/13","42,799","621,091","14.60","14.60","14.45","14.45","-0.05","24",
"105/04/14","41,672","603,607","14.45","14.55","14.45","14.50","+0.05","23",
"105/04/15","29,635","429,436","14.50","14.50","14.45","14.45","-0.05","19",
"105/04/18","56,372","814,854","14.40","14.50","14.40","14.50","+0.05","22",
"105/04/19","28,233","409,164","14.45","14.50","14.45","14.50"," 0.00","13",
"105/04/20","68,942","994,212","14.50","14.50","14.35","14.40","-0.10","35",
"105/04/21","21,657","312,008","14.40","14.50","14.40","14.50","+0.10","13",
"105/04/22","47,502","688,424","14.45","14.55","14.40","14.40","-0.10","26",
"105/04/25","36,411","525,363","14.40","14.45","14.40","14.40"," 0.00","21",
"105/04/26","19,465","282,517","14.55","14.55","14.50","14.55","+0.15","12",
"105/04/27","3,213","46,596","14.55","14.55","14.45","14.50","-0.05","8",
"105/04/28","23,200","335,358","14.50","14.50","14.45","14.45","-0.05","10",
"105/04/29","23,226","334,803","14.45","14.45","14.40","14.45"," 0.00","19",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

