"108年07月 2701 萬企             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/07/01","277,183","3,678,873","13.40","13.40","13.20","13.35"," 0.00","67",
"108/07/02","69,310","921,219","13.25","13.30","13.25","13.30","-0.05","35",
"108/07/03","72,659","965,611","13.30","13.30","13.25","13.30"," 0.00","31",
"108/07/04","66,851","891,517","13.35","13.35","13.30","13.30"," 0.00","21",
"108/07/05","33,263","444,782","13.40","13.40","13.30","13.30"," 0.00","23",
"108/07/08","69,206","921,083","13.35","13.35","13.30","13.30"," 0.00","48",
"108/07/09","65,832","875,571","13.30","13.35","13.30","13.30"," 0.00","30",
"108/07/10","50,750","677,822","13.40","13.40","13.30","13.30"," 0.00","21",
"108/07/11","72,067","958,686","13.30","13.35","13.30","13.30"," 0.00","34",
"108/07/12","41,331","551,582","13.30","13.40","13.30","13.40","+0.10","22",
"108/07/15","342,429","4,614,646","13.40","13.55","13.40","13.45","+0.05","81",
"108/07/16","176,376","2,375,636","13.45","13.50","13.45","13.45"," 0.00","62",
"108/07/17","145,801","1,962,530","13.45","13.55","13.40","13.45"," 0.00","113",
"108/07/18","118,806","1,595,207","13.45","13.50","13.40","13.40","-0.05","53",
"108/07/19","109,161","1,465,854","13.45","13.45","13.40","13.45","+0.05","49",
"108/07/22","203,455","2,753,689","13.50","13.60","13.50","13.55","+0.10","75",
"108/07/23","164,344","2,217,604","13.55","13.60","13.45","13.45","-0.10","82",
"108/07/24","79,721","1,071,491","13.50","13.50","13.40","13.40","-0.05","41",
"108/07/25","27,389","367,960","13.40","13.45","13.40","13.45","+0.05","22",
"108/07/26","121,749","1,641,319","13.45","13.50","13.45","13.50","+0.05","38",
"108/07/29","127,208","1,717,492","13.50","13.55","13.45","13.55","+0.05","47",
"108/07/30","64,692","874,956","13.55","13.55","13.45","13.50","-0.05","17",
"108/07/31","52,442","705,218","13.50","13.50","13.40","13.45","-0.05","31",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

