"10505る 2702 地堕             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","21,000","338,350","16.15","16.20","16.05","16.20","+0.10","16",
"105/05/04","24,050","388,155","16.30","16.30","16.10","16.10","-0.10","15",
"105/05/05","81,651","1,335,810","16.15","17.00","16.15","16.35","+0.25","51",
"105/05/06","21,606","352,116","16.25","16.35","16.25","16.25","-0.10","16",
"105/05/09","18,150","295,580","16.30","16.35","16.20","16.20","-0.05","13",
"105/05/10","29,100","470,610","16.20","16.20","16.10","16.10","-0.10","16",
"105/05/11","36,609","589,294","16.10","16.10","16.05","16.10"," 0.00","14",
"105/05/12","12,000","192,400","16.05","16.10","16.00","16.00","-0.10","9",
"105/05/13","29,126","459,628","16.00","16.00","15.70","15.70","-0.30","21",
"105/05/16","25,270","399,115","15.80","15.95","15.70","15.85","+0.15","13",
"105/05/17","4,364","69,300","15.90","15.90","15.85","15.85"," 0.00","8",
"105/05/18","15,024","237,929","15.95","15.95","15.70","15.85"," 0.00","16",
"105/05/19","8,498","134,516","15.80","15.95","15.80","15.80","-0.05","16",
"105/05/20","3,626","57,226","15.85","15.85","15.75","15.75","-0.05","7",
"105/05/23","15,199","243,884","15.90","16.10","15.90","16.10","+0.35","16",
"105/05/24","19,083","307,778","16.15","16.25","16.05","16.05","-0.05","16",
"105/05/25","9,908","159,521","16.05","16.20","16.05","16.15","+0.10","12",
"105/05/26","12,000","193,300","16.10","16.15","16.10","16.10","-0.05","7",
"105/05/27","5,250","84,874","16.20","16.20","16.15","16.15","+0.05","8",
"105/05/30","24,084","387,548","16.15","16.15","16.00","16.05","-0.10","16",
"105/05/31","26,819","433,704","16.20","16.35","16.10","16.10","+0.05","19",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

