"109年06月 2702 華園             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/06/01","2,191,107","45,379,971","20.35","21.30","20.10","20.85","+0.85","1,135",
"109/06/02","792,033","16,165,513","20.90","20.90","20.20","20.25","-0.60","509",
"109/06/03","937,567","18,789,523","20.60","20.60","19.70","19.80","-0.45","498",
"109/06/04","542,910","10,810,360","20.00","20.20","19.60","19.90","+0.10","322",
"109/06/05","471,850","9,440,610","19.75","20.25","19.75","19.90"," 0.00","290",
"109/06/08","1,260,717","25,757,540","20.00","20.90","20.00","20.00","+0.10","735",
"109/06/09","596,393","12,019,759","20.15","20.55","19.80","19.85","-0.15","368",
"109/06/10","605,831","11,924,110","20.20","20.20","19.40","19.60","-0.25","345",
"109/06/11","658,879","12,506,484","19.60","19.60","18.20","18.35","-1.25","422",
"109/06/12","591,588","10,430,784","17.30","17.90","16.80","17.90","-0.45","356",
"109/06/15","428,252","7,775,798","17.85","18.80","17.85","17.95","+0.05","280",
"109/06/16","266,858","4,895,548","18.20","18.60","18.20","18.35","+0.40","193",
"109/06/17","404,116","7,291,829","18.30","18.30","17.85","17.95","-0.40","247",
"109/06/18","382,059","6,946,638","17.95","18.60","17.90","18.60","+0.65","237",
"109/06/19","328,607","6,047,878","19.00","19.00","18.15","18.20","-0.40","188",
"109/06/22","137,010","2,481,632","17.95","18.30","17.95","18.10","-0.10","103",
"109/06/23","271,934","4,860,512","18.10","18.10","17.80","17.90","-0.20","162",
"109/06/24","245,200","4,437,400","18.00","18.30","18.00","18.10","+0.20","144",
"109/06/29","400,675","7,143,442","17.95","18.15","17.55","17.55","-0.55","237",
"109/06/30","1,163,424","22,114,731","17.70","19.30","17.70","19.30","+1.75","552",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

