"108年02月 2704 國賓             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","629,615","13,981,599","22.40","22.50","22.10","22.15","-0.05","370",
"108/02/12","509,683","11,267,988","22.15","22.15","22.05","22.15"," 0.00","256",
"108/02/13","496,400","10,979,878","22.15","22.25","22.05","22.10","-0.05","310",
"108/02/14","526,039","11,628,112","22.20","22.20","22.05","22.15","+0.05","251",
"108/02/15","380,810","8,407,650","22.20","22.20","22.05","22.05","-0.10","260",
"108/02/18","380,011","8,389,342","22.20","22.20","22.00","22.10","+0.05","287",
"108/02/19","449,661","9,921,856","22.10","22.15","22.00","22.05","-0.05","244",
"108/02/20","371,169","8,201,133","22.05","22.15","22.05","22.10","+0.05","204",
"108/02/21","457,974","10,122,574","22.10","22.20","22.05","22.05","-0.05","253",
"108/02/22","443,295","9,821,496","22.20","22.20","22.10","22.10","+0.05","261",
"108/02/25","474,310","10,509,108","22.15","22.25","22.10","22.15","+0.05","302",
"108/02/26","321,532","7,108,329","22.20","22.20","22.05","22.10","-0.05","179",
"108/02/27","383,114","8,471,878","22.10","22.20","22.05","22.10"," 0.00","205",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

