"107年05月 2705 六福             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","175,992","1,187,115","6.76","6.76","6.72","6.75","-0.01","106",
"107/05/03","262,753","1,777,642","6.74","6.93","6.70","6.87","+0.12","110",
"107/05/04","248,909","1,702,947","6.88","6.91","6.78","6.85","-0.02","109",
"107/05/07","316,574","2,154,760","6.88","6.88","6.77","6.83","-0.02","108",
"107/05/08","166,942","1,134,650","6.80","6.83","6.75","6.79","-0.04","76",
"107/05/09","253,198","1,717,647","6.82","6.82","6.76","6.79"," 0.00","80",
"107/05/10","153,412","1,040,253","6.80","6.80","6.77","6.78","-0.01","70",
"107/05/11","226,078","1,528,513","6.78","6.78","6.74","6.75","-0.03","91",
"107/05/14","541,139","3,619,300","6.77","6.77","6.66","6.67","-0.08","208",
"107/05/15","492,511","3,261,978","6.67","6.67","6.58","6.64","-0.03","176",
"107/05/16","321,136","2,129,683","6.60","6.69","6.59","6.66","+0.02","113",
"107/05/17","184,609","1,228,373","6.66","6.69","6.63","6.65","-0.01","78",
"107/05/18","205,040","1,365,477","6.65","6.70","6.62","6.68","+0.03","91",
"107/05/21","261,765","1,770,172","6.69","6.82","6.67","6.74","+0.06","135",
"107/05/22","172,347","1,167,290","6.74","6.81","6.72","6.77","+0.03","94",
"107/05/23","167,075","1,122,815","6.77","6.77","6.69","6.71","-0.06","74",
"107/05/24","115,995","777,168","6.72","6.76","6.69","6.71"," 0.00","67",
"107/05/25","174,642","1,169,764","6.72","6.75","6.67","6.73","+0.02","91",
"107/05/28","221,301","1,495,501","6.77","6.77","6.71","6.76","+0.03","82",
"107/05/29","170,049","1,144,425","6.77","6.77","6.71","6.72","-0.04","70",
"107/05/30","166,328","1,124,247","6.78","6.81","6.72","6.75","+0.03","100",
"107/05/31","243,956","1,637,774","6.75","6.75","6.70","6.70","-0.05","117",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

