"105年07月 2706 第一店           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/07/01","2,136,134","42,712,635","18.25","18.25","18.10","18.20","-0.05","39",
"105/07/04","44,105","802,716","18.20","18.25","18.15","18.25","+0.05","15",
"105/07/05","77,461","1,403,586","18.25","18.25","18.05","18.25"," 0.00","32",
"105/07/06","21,928","397,792","18.25","18.25","18.10","18.25"," 0.00","12",
"105/07/07","58,000","1,053,700","18.25","18.25","18.10","18.25"," 0.00","16",
"105/07/11","67,700","1,251,243","18.80","18.80","18.35","18.35","+0.10","39",
"105/07/12","83,530","1,531,397","18.35","18.40","18.25","18.35"," 0.00","34",
"105/07/13","35,238","645,715","18.50","18.50","18.25","18.35"," 0.00","28",
"105/07/14","1,863,919","37,541,974","18.40","18.45","18.35","18.35"," 0.00","11",
"105/07/15","69,941","1,288,564","18.30","18.60","18.30","18.50","+0.15","26",
"105/07/18","930,295","18,759,212","18.25","18.50","18.25","18.40","-0.10","43",
"105/07/19","169,077","3,113,463","18.40","18.50","18.40","18.50","+0.10","48",
"105/07/20","114,063","2,103,204","18.50","18.50","18.35","18.50"," 0.00","52",
"105/07/21","102,721","1,896,614","18.50","18.55","18.40","18.40","-0.10","46",
"105/07/22","94,266","1,734,664","18.55","18.55","18.40","18.45","+0.05","34",
"105/07/25","57,903","1,062,062","18.35","18.50","18.30","18.40","-0.05","29",
"105/07/26","176,833","3,227,549","18.25","18.40","18.20","18.25","-0.15","51",
"105/07/27","170,513","3,099,132","18.20","18.25","18.10","18.15","-0.10","81",
"105/07/28","33,050","601,420","18.15","18.30","18.15","18.25","+0.10","24",
"105/07/29","16,246","296,264","18.25","18.25","18.20","18.25"," 0.00","13",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

