"10405る 2707 垂地             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/05/04","68,137","22,362,501","329.00","329.50","326.50","328.50","+1.00","79",
"104/05/05","42,091","13,807,439","327.50","329.00","327.00","329.00","+0.50","56",
"104/05/06","114,802","37,537,056","327.00","329.00","325.50","329.00"," 0.00","118",
"104/05/07","76,710","25,114,170","327.50","328.50","326.00","326.50","-2.50","86",
"104/05/08","50,656","16,600,668","328.50","328.50","326.50","328.00","+1.50","64",
"104/05/11","78,922","25,868,494","330.00","330.00","326.00","326.00","-2.00","91",
"104/05/12","135,484","44,067,557","326.00","328.00","323.00","323.50","-2.50","138",
"104/05/13","715,577","222,183,755","314.00","315.00","305.00","310.50","-13.00","698",
"104/05/14","458,967","140,127,902","311.00","313.00","302.00","303.00","-7.50","500",
"104/05/15","701,085","217,839,680","304.00","323.00","303.50","305.50","+2.50","624",
"104/05/18","166,392","51,033,520","307.50","309.50","304.00","307.00","+1.50","156",
"104/05/19","78,209","24,102,290","307.00","309.50","306.00","308.50","+1.50","92",
"104/05/20","390,933","119,747,193","310.00","310.00","305.00","306.00","-2.50","209",
"104/05/21","340,937","103,288,848","304.00","305.00","301.00","301.50","-4.50","362",
"104/05/22","152,074","46,050,570","301.00","304.50","301.00","303.00","+1.50","167",
"104/05/25","108,009","32,673,745","303.00","303.00","301.50","303.00"," 0.00","124",
"104/05/26","178,910","53,992,353","303.00","305.00","301.00","301.50","-1.50","257",
"104/05/27","601,667","180,044,599","303.00","303.00","295.50","295.50","-6.00","600",
"104/05/28","295,259","88,710,560","295.50","303.00","295.50","300.50","+5.00","336",
"104/05/29","3,849,809","1,118,241,363","302.50","302.50","288.00","288.50","-12.00","1,539",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

