"109年04月 2707 晶華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/04/01","414,403","44,998,830","110.00","110.50","107.00","108.00","-1.50","346",
"109/04/06","497,800","53,045,200","107.50","108.00","105.00","108.00"," 0.00","404",
"109/04/07","438,351","48,777,187","114.50","114.50","109.50","111.00","+3.00","353",
"109/04/08","936,714","105,385,824","111.00","115.00","109.50","115.00","+4.00","655",
"109/04/09","796,876","93,144,620","116.50","119.50","115.00","117.00","+2.00","627",
"109/04/10","387,335","44,960,528","117.00","117.00","115.00","117.00"," 0.00","297",
"109/04/13","474,551","54,869,967","116.00","117.00","114.00","116.00","-1.00","395",
"109/04/14","582,055","68,813,624","116.00","120.00","116.00","119.50","+3.50","419",
"109/04/15","1,167,615","150,144,565","121.00","131.00","121.00","131.00","+11.50","889",
"109/04/16","716,930","91,879,358","130.50","130.50","126.00","127.50","-3.50","630",
"109/04/17","716,194","93,165,720","131.00","133.50","127.50","128.00","+0.50","577",
"109/04/20","430,707","55,369,255","128.00","131.50","126.00","130.50","+2.50","370",
"109/04/21","676,990","86,322,240","129.00","131.00","125.50","125.50","-5.00","544",
"109/04/22","421,224","51,965,060","124.00","125.50","120.00","125.50"," 0.00","335",
"109/04/23","274,199","34,340,574","126.50","127.00","124.50","124.50","-1.00","257",
"109/04/24","325,592","39,846,107","124.00","124.00","122.00","122.00","-2.50","302",
"109/04/27","487,804","61,654,807","125.00","128.50","124.00","128.50","+6.50","405",
"109/04/28","407,846","52,718,980","131.00","131.00","127.00","129.00","+0.50","356",
"109/04/29","762,178","101,134,617","130.00","134.50","130.00","134.00","+5.00","571",
"109/04/30","1,382,074","194,774,508","136.00","144.00","136.00","141.50","+7.50","1,144",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

