"10402る 2712 环动ㄓ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/02/02","2,000","42,700","21.25","21.45","21.25","21.45"," 0.00","2",
"104/02/03","2,000","42,800","21.40","21.40","21.40","21.40","-0.05","2",
"104/02/04","11,000","234,900","21.40","21.50","21.30","21.30","-0.10","6",
"104/02/05","1,000","21,350","21.35","21.35","21.35","21.35","+0.05","1",
"104/02/06","4,000","85,400","21.20","21.40","21.20","21.40","+0.05","4",
"104/02/09","3,000","64,500","21.50","21.50","21.50","21.50","+0.10","1",
"104/02/10","20,000","426,200","21.20","21.45","21.20","21.20","-0.30","13",
"104/02/11","12,000","258,200","21.60","21.60","21.50","21.50","+0.30","6",
"104/02/12","32,000","679,300","21.30","21.30","21.20","21.20","-0.30","12",
"104/02/13","36,000","765,050","21.25","21.30","21.25","21.25","+0.05","16",
"104/02/24","88,000","1,884,250","21.25","21.55","21.25","21.40","+0.15","29",
"104/02/25","37,300","800,584","21.25","21.55","21.25","21.50","+0.10","21",
"104/02/26","14,000","299,800","21.20","21.50","21.20","21.50"," 0.00","8",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

