"10505る 2722 甃常             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/03","8,000","355,700","44.50","44.50","44.45","44.45","-0.05","4",
"105/05/04","18,016","803,111","44.50","44.85","44.05","44.85","+0.40","12",
"105/05/05","222","9,945","--","--","--","--"," 0.00","1",
"105/05/06","0","0","--","--","--","--"," 0.00","0",
"105/05/09","15,000","668,300","44.60","45.45","44.05","44.15","X0.00","10",
"105/05/10","7,000","310,950","44.40","44.85","44.15","44.85","+0.70","4",
"105/05/11","6,312","281,352","44.25","44.85","44.25","44.80","-0.05","8",
"105/05/12","0","0","--","--","--","--"," 0.00","0",
"105/05/13","7","313","--","--","--","--"," 0.00","2",
"105/05/16","57","2,308","--","--","--","--"," 0.00","1",
"105/05/17","13,302","591,928","44.50","44.75","44.40","44.75","X0.00","9",
"105/05/18","3,170","140,880","44.60","44.60","44.40","44.40","-0.35","4",
"105/05/19","10,000","441,900","44.55","44.55","43.95","44.15","-0.25","8",
"105/05/20","18,000","789,300","44.10","44.10","43.50","44.10","-0.05","13",
"105/05/23","19,477","854,890","42.45","44.40","42.45","44.35","+0.25","15",
"105/05/24","5,546","244,154","44.20","44.20","43.90","44.15","-0.20","7",
"105/05/25","17,200","760,429","44.15","44.30","44.15","44.15"," 0.00","12",
"105/05/26","7,002","308,388","44.10","44.10","44.00","44.00","-0.15","5",
"105/05/27","0","0","--","--","--","--"," 0.00","0",
"105/05/30","136,821","5,624,283","40.60","42.20","40.60","41.85","X0.00","77",
"105/05/31","70,294","2,971,246","42.00","42.85","41.80","42.85","+1.00","53",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

