"107年07月 2722 夏都             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","4,132","120,678","28.65","30.35","28.65","29.20","-1.75","6",
"107/07/03","4,401","129,858","29.05","29.90","29.05","29.80","+0.60","7",
"107/07/04","2,657","81,007","30.50","30.60","30.50","30.60","+0.80","3",
"107/07/05","0","0","--","--","--","--"," 0.00","0",
"107/07/06","4,000","122,200","30.60","30.60","30.50","30.55","X0.00","4",
"107/07/09","3,000","92,600","30.80","31.00","30.80","30.80","+0.25","3",
"107/07/10","20,000","605,750","29.95","30.65","29.90","30.65","-0.15","17",
"107/07/11","7,032","214,980","30.10","30.80","30.10","30.80","+0.15","8",
"107/07/12","0","0","--","--","--","--"," 0.00","0",
"107/07/13","11,000","337,150","30.00","31.10","30.00","31.00","X0.00","10",
"107/07/16","2,709","83,057","30.20","30.95","30.20","30.95","-0.05","5",
"107/07/17","1,300","39,090","30.00","30.00","30.00","30.00","-0.95","2",
"107/07/18","10,000","306,900","30.90","30.90","30.00","30.80","+0.80","10",
"107/07/19","3","90","--","--","--","--"," 0.00","1",
"107/07/20","0","0","--","--","--","--"," 0.00","0",
"107/07/23","6,636","201,661","30.25","30.95","30.25","30.95","X0.00","7",
"107/07/24","1,100","34,045","30.95","30.95","30.95","30.95"," 0.00","2",
"107/07/25","0","0","--","--","--","--"," 0.00","0",
"107/07/26","2,000","64,400","32.40","32.40","32.40","32.40","X0.00","5",
"107/07/27","7,418","228,584","30.15","31.65","30.15","30.35","-2.05","10",
"107/07/30","7,413","228,228","31.00","31.10","30.40","31.05","+0.70","9",
"107/07/31","51,225","1,609,952","31.00","31.80","30.45","31.70","+0.65","38",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

