"10501る 2723 -KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","121,230","28,211,280","234.50","234.50","230.00","234.00","-1.00","117",
"105/01/05","295,387","67,707,671","229.00","233.00","227.00","229.50","-4.50","279",
"105/01/06","538,016","128,828,824","232.00","245.00","230.00","240.50","+11.00","472",
"105/01/07","459,120","106,254,360","240.00","240.00","227.50","228.00","-12.50","400",
"105/01/08","626,240","137,898,500","221.00","225.00","216.00","219.50","-8.50","546",
"105/01/11","530,100","114,118,100","222.00","223.00","213.50","214.00","-5.50","465",
"105/01/12","581,100","122,910,600","215.00","217.00","204.00","204.00","-10.00","492",
"105/01/13","679,040","139,528,360","202.00","207.50","202.00","206.50","+2.50","595",
"105/01/14","469,251","98,637,335","206.50","214.00","204.00","211.50","+5.00","426",
"105/01/15","368,044","80,198,745","214.00","221.50","214.00","221.50","+10.00","350",
"105/01/18","622,056","140,887,048","221.00","234.00","217.50","234.00","+12.50","551",
"105/01/19","636,017","145,220,299","234.00","234.00","222.00","222.50","-11.50","568",
"105/01/20","191,022","42,440,318","223.50","225.50","219.00","219.00","-3.50","186",
"105/01/21","188,050","40,657,250","219.00","219.00","215.00","215.00","-4.00","168",
"105/01/22","338,885","72,583,177","217.00","217.00","212.50","212.50","-2.50","302",
"105/01/25","206,500","46,038,000","212.50","229.50","212.50","221.50","+9.00","196",
"105/01/26","294,010","63,554,660","218.50","219.50","213.50","215.00","-6.50","173",
"105/01/27","1,108,500","224,903,500","217.00","218.50","210.00","211.00","-4.00","469",
"105/01/28","506,210","107,953,440","207.00","218.00","207.00","215.00","+4.00","493",
"105/01/29","465,000","102,285,000","215.00","222.50","215.00","221.00","+6.00","351",
"105/01/30","217,000","47,792,500","224.00","224.00","219.00","219.00","-2.00","179",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

