"106年11月 2723 美食-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","144,368","49,555,960","346.50","347.00","340.00","342.50","-3.50","125",
"106/11/02","198,999","69,793,145","346.00","359.00","345.50","351.00","+8.50","194",
"106/11/03","65,190","22,693,500","351.00","351.00","347.00","347.00","-4.00","63",
"106/11/06","50,040","17,484,460","347.50","351.00","347.50","347.50","+0.50","51",
"106/11/07","116,000","39,972,500","347.00","349.50","341.00","343.00","-4.50","102",
"106/11/08","140,100","48,245,800","343.00","348.00","338.50","340.50","-2.50","140",
"106/11/09","160,318","55,031,892","346.50","347.00","339.00","346.00","+5.50","155",
"106/11/10","1,380,486","502,334,742","361.50","370.00","356.00","360.00","+14.00","1,098",
"106/11/13","889,230","327,483,870","361.00","374.00","360.00","372.00","+12.00","814",
"106/11/14","505,010","190,034,260","372.00","381.50","362.50","379.50","+7.50","477",
"106/11/15","386,834","145,454,748","380.00","381.50","369.00","375.00","-4.50","374",
"106/11/16","179,631","65,536,996","371.00","371.50","360.50","360.50","-14.50","175",
"106/11/17","731,214","264,341,820","358.00","369.50","358.00","360.00","-0.50","355",
"106/11/20","714,503","268,917,268","367.00","385.00","367.00","378.00","+18.00","580",
"106/11/21","291,817","108,846,790","378.00","378.00","370.50","371.00","-7.00","285",
"106/11/22","202,229","75,843,375","375.00","378.00","371.00","377.00","+6.00","175",
"106/11/23","251,274","96,263,394","375.50","387.00","375.50","383.00","+6.00","204",
"106/11/24","121,515","46,147,924","383.00","383.00","376.50","378.50","-4.50","125",
"106/11/27","42,168","15,817,832","378.00","378.00","374.00","374.00","-4.50","48",
"106/11/28","355,039","135,395,742","374.00","391.00","374.00","379.00","+5.00","327",
"106/11/29","409,064","157,518,756","381.00","393.00","379.00","381.00","+2.00","380",
"106/11/30","149,699","56,065,870","379.00","379.00","370.00","377.50","-3.50","153",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

