"10503る 2727 珇             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/03/01","163,344","22,706,316","141.50","141.50","138.00","138.00","+0.50","151",
"105/03/02","441,515","62,172,630","139.00","143.00","138.50","142.00","+4.00","348",
"105/03/03","138,416","19,620,572","142.00","143.00","141.00","141.00","-1.00","125",
"105/03/04","117,108","16,622,888","142.00","142.50","141.00","142.00","+1.00","122",
"105/03/07","120,029","17,061,118","143.00","143.00","141.00","141.50","-0.50","114",
"105/03/08","179,792","25,793,649","141.50","146.00","141.50","143.50","+2.00","184",
"105/03/09","144,521","20,798,284","143.00","145.00","142.50","144.50","+1.00","120",
"105/03/10","184,353","26,899,391","145.00","147.50","144.50","145.50","+1.00","166",
"105/03/11","450,655","66,258,109","146.50","148.50","145.00","147.00","+1.50","382",
"105/03/14","930,636","144,641,157","149.50","160.00","149.00","158.00","+11.00","809",
"105/03/15","475,131","73,269,412","160.00","160.00","151.00","151.00","-7.00","411",
"105/03/16","169,402","25,903,506","152.50","154.00","152.00","152.00","+1.00","160",
"105/03/17","178,301","27,128,099","153.50","154.00","150.50","150.50","-1.50","164",
"105/03/18","204,914","30,704,638","152.00","152.00","148.00","150.50"," 0.00","201",
"105/03/21","133,192","19,956,300","151.50","152.00","148.50","149.50","-1.00","126",
"105/03/22","154,748","22,881,826","149.50","150.50","146.50","147.50","-2.00","154",
"105/03/23","79,591","11,711,377","147.50","148.00","146.50","147.00","-0.50","86",
"105/03/24","251,031","36,288,945","147.00","147.00","143.00","143.50","-3.50","232",
"105/03/25","128,947","18,439,368","143.50","144.50","142.00","143.00","-0.50","111",
"105/03/28","409,771","57,068,051","143.00","143.00","138.00","138.50","-4.50","342",
"105/03/29","549,840","76,650,280","136.00","142.00","135.00","141.50","+3.00","416",
"105/03/30","222,313","30,997,507","141.50","141.50","138.50","139.00","-2.50","201",
"105/03/31","142,510","19,907,652","140.50","141.00","138.50","139.50","+0.50","124",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

