"106年12月 2727 王品             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/12/01","386,607","50,509,032","132.00","133.50","128.50","132.50","+1.50","324",
"106/12/04","267,130","35,818,810","133.00","136.50","132.00","136.00","+3.50","237",
"106/12/05","273,840","37,372,900","138.50","138.50","134.00","134.00","-2.00","247",
"106/12/06","200,167","26,528,544","134.00","134.00","131.50","132.00","-2.00","212",
"106/12/07","145,966","19,162,027","133.00","133.00","130.00","130.00","-2.00","136",
"106/12/08","81,099","10,610,469","131.50","132.00","130.00","130.50","+0.50","90",
"106/12/11","142,010","18,753,320","131.00","133.50","130.50","132.50","+2.00","138",
"106/12/12","195,064","25,530,350","132.50","132.50","130.00","130.00","-2.50","209",
"106/12/13","161,055","21,080,731","130.00","131.50","130.00","130.50","+0.50","157",
"106/12/14","276,653","36,735,368","131.00","134.00","131.00","132.00","+1.50","258",
"106/12/15","195,502","25,687,512","131.50","132.50","130.50","130.50","-1.50","149",
"106/12/18","79,071","10,380,334","131.00","132.00","130.50","131.00","+0.50","84",
"106/12/19","91,799","12,074,567","131.50","132.50","131.00","131.50","+0.50","91",
"106/12/20","122,755","16,251,535","132.00","133.00","131.00","132.50","+1.00","123",
"106/12/21","346,625","47,152,500","133.00","137.50","133.00","135.50","+3.00","299",
"106/12/22","209,311","28,508,639","136.50","138.00","134.50","134.50","-1.00","178",
"106/12/25","80,146","10,830,635","135.50","136.00","134.00","134.50"," 0.00","79",
"106/12/26","264,245","35,099,585","135.50","135.50","131.50","131.50","-3.00","212",
"106/12/27","58,263","7,744,108","132.50","133.50","132.00","133.50","+2.00","69",
"106/12/28","96,681","12,875,911","133.50","134.00","132.50","132.50","-1.00","99",
"106/12/29","152,595","20,484,325","132.50","135.00","132.50","134.00","+1.50","152",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

