"109年01月 2731 雄獅             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/01/02","176,278","14,871,305","85.30","85.30","83.90","84.10","-0.90","141",
"109/01/03","251,176","20,741,937","84.00","84.00","81.60","82.50","-1.60","213",
"109/01/06","98,132","8,116,729","82.50","83.20","82.00","82.60","+0.10","86",
"109/01/07","221,202","18,482,844","82.80","84.60","82.80","82.80","+0.20","167",
"109/01/08","112,091","9,266,580","82.70","83.00","82.10","83.00","+0.20","82",
"109/01/09","975,629","84,648,461","83.50","88.80","83.50","87.60","+4.60","762",
"109/01/10","1,167,050","103,629,637","88.10","89.80","88.00","88.80","+1.20","856",
"109/01/13","1,380,228","113,929,244","84.00","84.20","80.00","82.20","-6.60","1,026",
"109/01/14","392,236","32,216,246","83.00","83.40","81.10","81.90","-0.30","313",
"109/01/15","131,745","10,765,366","81.40","82.20","81.40","81.70","-0.20","115",
"109/01/16","223,150","18,039,850","82.00","82.00","80.40","80.90","-0.80","205",
"109/01/17","206,000","16,541,700","80.90","80.90","80.00","80.20","-0.70","169",
"109/01/20","106,019","8,550,515","80.20","81.30","80.20","80.90","+0.70","92",
"109/01/30","682,502","49,759,866","72.90","72.90","72.90","72.90","-8.00","395",
"109/01/31","1,205,550","85,399,040","70.00","72.70","70.00","71.10","-1.80","927",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

