"10505る 2739 碒             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/05/19","2,705,274","142,464,500","52.00","53.80","52.00","52.00","X0.00","1,846",
"105/05/20","1,415,200","71,671,980","51.80","52.00","50.20","50.20","-1.80","883",
"105/05/23","1,377,015","67,885,585","50.00","50.10","48.60","49.25","-0.95","734",
"105/05/24","800,061","39,885,900","49.10","50.70","48.90","50.10","+0.85","447",
"105/05/25","648,475","32,482,600","49.80","50.60","49.55","49.55","-0.55","368",
"105/05/26","315,403","15,724,577","49.60","50.60","49.40","49.50","-0.05","239",
"105/05/27","403,300","19,710,078","49.80","49.80","48.40","48.60","-0.90","306",
"105/05/30","518,557","24,540,229","48.40","48.40","47.10","47.20","-1.40","428",
"105/05/31","936,390","42,826,151","47.30","47.30","45.30","45.40","-1.80","633",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

