"108年09月 2739 寒舍             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/09/02","42,023","1,052,941","25.45","25.45","24.80","25.40","+0.40","26",
"108/09/03","21,517","546,575","25.65","25.65","25.30","25.30","-0.10","22",
"108/09/04","21,100","533,610","25.15","25.45","25.15","25.40","+0.10","16",
"108/09/05","43,672","1,111,084","25.65","25.65","25.35","25.50","+0.10","32",
"108/09/06","22,000","559,600","25.50","25.50","25.40","25.40","-0.10","16",
"108/09/09","24,800","619,389","25.00","25.25","24.80","25.00","-0.40","21",
"108/09/10","16,000","400,600","25.00","25.15","25.00","25.10","+0.10","12",
"108/09/11","21,000","525,050","25.10","25.10","24.90","25.10"," 0.00","16",
"108/09/12","17,000","425,600","25.10","25.15","24.90","25.05","-0.05","15",
"108/09/16","22,000","549,450","25.00","25.05","24.90","25.05"," 0.00","18",
"108/09/17","36,800","922,119","24.90","25.20","24.90","25.15","+0.10","26",
"108/09/18","42,025","1,058,232","25.05","25.30","25.05","25.30","+0.15","36",
"108/09/19","25,000","631,800","25.35","25.50","25.20","25.20","-0.10","17",
"108/09/20","33,042","834,825","25.20","25.35","25.20","25.35","+0.15","20",
"108/09/23","25,803","648,675","25.20","25.25","25.05","25.25","-0.10","19",
"108/09/24","44,000","1,100,900","25.05","25.20","24.90","25.20","-0.05","21",
"108/09/25","30,000","748,800","25.10","25.10","24.90","25.05","-0.15","25",
"108/09/26","10,000","249,900","25.05","25.05","24.95","24.95","-0.10","9",
"108/09/27","43,127","1,071,237","24.90","25.20","24.75","24.80","-0.15","35",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

