"109年03月 2748 雲品             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/03/02","177,000","7,782,550","44.15","44.30","43.75","43.85","-0.65","123",
"109/03/03","198,000","8,657,100","44.05","44.05","43.55","43.55","-0.30","130",
"109/03/04","75,000","3,260,000","43.60","43.60","43.30","43.45","-0.10","45",
"109/03/05","49,017","2,162,206","44.40","44.40","43.80","44.00","+0.55","46",
"109/03/06","227,000","10,132,950","44.25","45.50","44.25","44.40","+0.40","136",
"109/03/09","265,010","11,650,518","44.40","44.40","43.60","44.00","-0.40","123",
"109/03/10","178,000","7,728,950","43.90","43.90","43.20","43.40","-0.60","106",
"109/03/11","98,000","4,264,700","43.60","43.75","43.30","43.30","-0.10","66",
"109/03/12","225,003","9,506,890","43.30","43.30","41.60","41.75","-1.55","139",
"109/03/13","200,000","7,992,600","41.65","41.65","39.55","40.10","-1.65","136",
"109/03/16","140,000","5,491,950","40.00","40.00","38.75","39.00","-1.10","107",
"109/03/17","155,000","5,777,350","36.80","38.00","36.80","37.80","-1.20","119",
"109/03/18","108,714","4,028,407","37.15","37.45","36.85","36.85","-0.95","98",
"109/03/19","275,300","9,593,155","35.60","35.60","34.00","34.70","-2.15","160",
"109/03/20","103,168","3,634,805","35.40","35.50","34.90","35.30","+0.60","70",
"109/03/23","77,000","2,639,350","34.50","34.65","33.50","34.40","-0.90","48",
"109/03/24","100,000","3,607,400","35.20","36.50","35.20","36.25","+1.85","62",
"109/03/25","132,000","4,933,050","36.50","37.60","36.50","37.55","+1.30","100",
"109/03/26","86,000","3,164,400","37.55","37.55","36.25","37.00","-0.55","52",
"109/03/27","196,458","7,328,508","37.00","37.60","37.00","37.20","+0.20","89",
"109/03/30","54,000","1,975,450","36.95","36.95","36.05","36.80","-0.40","35",
"109/03/31","77,000","2,851,200","36.95","37.35","36.50","37.35","+0.55","56",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

