"108年10月 3164 景岳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/10/01","16,000","408,350","25.65","25.65","25.40","25.55","+0.20","15",
"108/10/02","15,004","381,851","25.40","25.50","25.40","25.45","-0.10","12",
"108/10/03","21,001","532,525","25.20","25.45","25.20","25.45"," 0.00","18",
"108/10/04","12,101","306,830","25.35","25.45","25.30","25.45"," 0.00","14",
"108/10/07","37,000","939,200","25.45","25.45","25.30","25.45"," 0.00","21",
"108/10/08","47,000","1,187,200","25.40","25.40","25.20","25.35","-0.10","31",
"108/10/09","69,105","1,747,711","25.30","25.35","25.15","25.35"," 0.00","26",
"108/10/14","57,004","1,443,900","25.35","25.45","25.25","25.25","-0.10","30",
"108/10/15","41,103","1,026,639","25.25","25.25","24.60","25.00","-0.25","31",
"108/10/16","20,001","505,824","25.50","25.50","25.10","25.15","+0.15","20",
"108/10/17","10,109","256,023","25.50","25.50","25.20","25.45","+0.30","10",
"108/10/18","43,002","1,098,700","26.00","26.00","25.30","25.45"," 0.00","30",
"108/10/21","18,000","455,050","25.50","25.50","25.05","25.35","-0.10","16",
"108/10/22","45,001","1,133,925","25.35","25.35","25.10","25.20","-0.15","27",
"108/10/23","85,100","2,133,570","25.20","25.35","24.90","24.90","-0.30","53",
"108/10/24","31,100","784,414","25.30","25.35","25.15","25.30","+0.40","22",
"108/10/25","42,023","1,052,581","25.10","25.15","25.00","25.05","-0.25","26",
"108/10/28","36,200","902,989","25.00","25.00","24.80","24.90","-0.15","22",
"108/10/29","78,103","1,940,052","24.80","25.00","24.65","24.95","+0.05","53",
"108/10/30","57,666","1,447,132","24.80","25.25","24.80","25.20","+0.25","42",
"108/10/31","52,001","1,301,825","25.20","25.20","24.90","24.95","-0.25","30",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

