"10412る 3705 ッ獺             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","887,100","44,944,632","51.00","51.00","50.20","50.70","+0.30","620",
"104/12/02","682,379","34,550,163","50.60","51.20","50.10","50.10","-0.60","425",
"104/12/03","632,822","31,825,450","50.10","50.90","49.75","50.00","-0.10","388",
"104/12/04","431,810","21,437,305","49.55","50.10","49.50","49.55","-0.45","268",
"104/12/07","395,395","19,825,065","50.10","50.50","49.80","50.10","+0.55","327",
"104/12/08","231,096","11,517,296","50.20","50.40","49.50","49.50","-0.60","183",
"104/12/09","494,068","23,937,530","49.20","49.60","47.90","48.25","-1.25","383",
"104/12/10","341,651","16,386,421","48.00","48.65","47.65","48.25"," 0.00","215",
"104/12/11","481,769","23,287,512","48.60","48.65","48.00","48.00","-0.25","316",
"104/12/14","269,630","12,800,845","47.70","47.80","47.00","47.25","-0.75","230",
"104/12/15","275,727","13,251,618","47.80","48.80","47.45","48.40","+1.15","223",
"104/12/16","1,237,448","62,833,600","50.60","51.90","50.00","50.30","+1.90","790",
"104/12/17","554,304","27,914,086","50.60","50.60","49.95","50.40","+0.10","367",
"104/12/18","213,092","10,589,819","49.85","50.10","49.50","49.50","-0.90","161",
"104/12/21","177,448","8,821,516","49.50","50.30","49.10","49.95","+0.45","155",
"104/12/22","188,766","9,398,791","50.10","50.10","49.60","49.70","-0.25","180",
"104/12/23","1,245,958","60,563,401","50.00","50.10","47.80","48.50","-1.20","691",
"104/12/24","334,320","16,133,180","48.60","48.75","48.00","48.10","-0.40","242",
"104/12/25","169,137","8,134,903","48.35","48.35","47.95","48.10"," 0.00","115",
"104/12/28","233,557","11,247,996","48.00","48.45","47.90","48.20","+0.10","164",
"104/12/29","209,150","10,044,257","48.45","48.45","47.80","48.40","+0.20","174",
"104/12/30","131,015","6,324,273","48.25","48.50","48.15","48.35","-0.05","118",
"104/12/31","92,120","4,432,834","48.30","48.30","47.95","48.25","-0.10","82",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

