"109年09月 3705 永信             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/09/01","231,815","10,226,672","44.10","44.40","43.90","44.10","+0.05","128",
"109/09/02","153,451","6,766,728","44.15","44.45","43.95","44.00","-0.10","117",
"109/09/03","130,451","5,759,777","44.15","44.25","44.05","44.10","+0.10","114",
"109/09/04","285,556","12,585,867","44.00","44.35","43.95","44.05","-0.05","182",
"109/09/07","106,145","4,687,698","44.00","44.25","44.00","44.15","+0.10","79",
"109/09/08","147,561","6,541,343","44.20","44.45","44.20","44.35","+0.20","115",
"109/09/09","116,607","5,174,159","44.20","44.50","44.15","44.45","+0.10","110",
"109/09/10","276,229","12,229,303","44.35","44.55","44.05","44.10","-0.35","195",
"109/09/11","197,540","8,717,636","44.00","44.35","44.00","44.10"," 0.00","134",
"109/09/14","128,706","5,692,024","44.10","44.35","44.10","44.10"," 0.00","107",
"109/09/15","116,502","5,149,237","44.10","44.30","44.10","44.20","+0.10","94",
"109/09/16","141,777","6,281,647","44.20","44.40","44.20","44.35","+0.15","124",
"109/09/17","133,513","5,936,778","44.25","44.70","44.25","44.50","+0.15","113",
"109/09/18","226,178","10,052,514","44.50","44.70","44.25","44.40","-0.10","190",
"109/09/21","328,161","14,730,516","44.50","45.05","44.50","44.85","+0.45","252",
"109/09/22","217,542","9,690,567","44.80","44.80","44.40","44.40","-0.45","185",
"109/09/23","193,013","8,539,175","44.55","44.65","44.05","44.15","-0.25","130",
"109/09/24","619,756","26,883,908","44.00","44.00","43.05","43.20","-0.95","402",
"109/09/25","332,331","14,287,748","43.25","43.35","42.75","42.95","-0.25","214",
"109/09/28","118,070","5,103,795","43.10","43.35","43.10","43.15","+0.20","99",
"109/09/29","243,500","10,515,925","43.15","43.20","43.10","43.20","+0.05","89",
"109/09/30","314,209","13,489,169","43.05","43.05","42.80","43.00","-0.20","236",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

