"107年01月 4104 佳醫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/01/02","200,867","9,022,313","44.90","45.00","44.85","44.95","+0.05","120",
"107/01/03","101,626","4,573,282","45.20","45.20","44.90","44.95"," 0.00","88",
"107/01/04","110,061","4,947,367","44.95","45.05","44.90","44.90","-0.05","91",
"107/01/05","148,388","6,684,497","45.00","45.25","44.90","45.20","+0.30","100",
"107/01/08","202,811","9,185,003","45.40","45.40","45.20","45.20"," 0.00","155",
"107/01/09","87,252","3,944,599","45.20","45.35","45.15","45.15","-0.05","76",
"107/01/10","181,373","8,205,640","45.20","45.35","45.15","45.30","+0.15","162",
"107/01/11","82,260","3,719,720","45.30","45.30","45.15","45.20","-0.10","68",
"107/01/12","185,624","8,382,530","45.10","45.40","45.05","45.30","+0.10","131",
"107/01/15","1,491,454","68,639,354","45.30","46.35","45.25","46.15","+0.85","947",
"107/01/16","741,530","34,143,291","46.00","46.30","45.80","45.80","-0.35","411",
"107/01/17","366,486","16,738,473","45.75","45.80","45.55","45.65","-0.15","229",
"107/01/18","316,071","14,463,992","45.80","46.00","45.55","45.55","-0.10","190",
"107/01/19","184,107","8,401,323","45.75","45.75","45.50","45.65","+0.10","134",
"107/01/22","483,684","22,267,428","45.70","46.25","45.70","46.05","+0.40","325",
"107/01/23","267,945","12,323,126","46.25","46.30","45.80","45.90","-0.15","179",
"107/01/24","224,200","10,293,683","46.00","46.00","45.70","46.00","+0.10","132",
"107/01/25","202,315","9,294,500","46.00","46.20","45.70","45.95","-0.05","118",
"107/01/26","284,280","13,087,863","46.45","46.45","45.80","45.90","-0.05","180",
"107/01/29","195,551","8,988,304","46.20","46.20","45.85","45.85","-0.05","174",
"107/01/30","170,441","7,806,721","45.85","45.90","45.65","45.70","-0.15","125",
"107/01/31","132,557","6,058,099","45.55","45.90","45.50","45.75","+0.05","130",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

