"107年03月 4106 雃博             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","82,100","2,233,395","27.30","27.40","27.10","27.35","-0.05","56",
"107/03/02","97,413","2,627,351","27.35","27.35","26.85","26.90","-0.45","81",
"107/03/05","115,163","3,092,051","26.95","27.00","26.75","26.80","-0.10","85",
"107/03/06","60,600","1,634,838","26.90","27.10","26.90","27.10","+0.30","49",
"107/03/07","162,150","4,462,762","27.00","27.85","27.00","27.70","+0.60","131",
"107/03/08","105,050","2,921,837","27.70","27.95","27.60","27.60","-0.10","86",
"107/03/09","96,358","2,660,744","27.70","27.85","27.50","27.50","-0.10","71",
"107/03/12","143,410","3,996,545","27.70","28.00","27.60","28.00","+0.50","129",
"107/03/13","84,707","2,378,649","28.00","28.25","28.00","28.00"," 0.00","70",
"107/03/14","87,497","2,460,215","28.00","28.20","28.00","28.10","+0.10","69",
"107/03/15","58,382","1,653,783","28.20","28.40","28.10","28.30","+0.20","59",
"107/03/16","103,611","2,928,652","28.50","28.50","28.05","28.40","+0.10","75",
"107/03/19","69,929","1,987,631","28.50","28.50","28.40","28.40"," 0.00","52",
"107/03/20","65,000","1,826,550","28.35","28.35","27.95","28.35","-0.05","42",
"107/03/21","71,100","2,016,090","28.20","28.50","28.15","28.40","+0.05","51",
"107/03/22","59,200","1,683,389","28.50","28.55","28.20","28.20","-0.20","49",
"107/03/23","71,101","1,986,268","28.00","28.15","27.60","28.15","-0.05","59",
"107/03/26","225,201","6,497,216","28.30","29.15","28.15","28.90","+0.75","186",
"107/03/27","111,040","3,197,550","29.05","29.05","28.55","28.60","-0.30","73",
"107/03/28","272,007","7,764,610","28.75","28.75","28.25","28.60"," 0.00","93",
"107/03/29","193,311","5,643,628","28.80","29.45","28.80","29.20","+0.60","170",
"107/03/30","106,044","3,061,614","29.30","29.35","28.60","28.70","-0.50","86",
"107/03/31","55,469","1,595,658","28.70","29.00","28.65","28.70"," 0.00","49",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

