"10412る 4108 胔疭             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","4,203,600","132,222,907","31.90","32.05","31.00","31.20","-0.55","2,238",
"104/12/02","4,635,429","142,766,820","31.30","32.00","29.80","30.20","-1.00","2,354",
"104/12/03","3,151,404","94,545,805","30.30","30.60","29.50","29.50","-0.70","1,649",
"104/12/04","2,188,929","65,324,047","29.15","30.50","29.10","30.25","+0.75","1,261",
"104/12/07","1,489,111","44,687,600","30.80","30.80","29.75","29.75","-0.50","899",
"104/12/08","2,869,067","86,888,625","30.10","30.70","29.75","30.00","+0.25","1,668",
"104/12/09","2,613,136","75,194,989","30.00","30.25","28.10","28.25","-1.75","1,485",
"104/12/10","2,614,706","75,539,649","28.50","29.50","28.30","29.50","+1.25","1,607",
"104/12/11","2,151,875","61,397,959","29.60","29.70","27.40","27.70","-1.80","1,262",
"104/12/14","1,778,425","48,417,057","27.50","27.90","26.25","27.15","-0.55","1,032",
"104/12/15","1,479,652","41,302,799","27.40","28.30","27.40","28.30","+1.15","913",
"104/12/16","1,077,389","30,365,505","28.55","28.70","27.80","27.80","-0.50","706",
"104/12/17","931,005","26,143,340","28.00","28.45","27.80","27.85","+0.05","564",
"104/12/18","696,002","19,472,606","28.00","28.30","27.80","27.85"," 0.00","497",
"104/12/21","644,018","17,970,604","27.65","28.20","27.35","27.95","+0.10","446",
"104/12/22","1,918,650","55,040,575","28.30","28.95","28.20","28.35","+0.40","1,157",
"104/12/23","1,105,198","31,206,323","28.60","28.80","27.85","27.90","-0.45","674",
"104/12/24","1,244,312","33,985,788","28.10","28.10","26.90","27.30","-0.60","795",
"104/12/25","1,390,601","38,647,545","27.40","28.40","26.85","28.25","+0.95","934",
"104/12/28","630,201","17,626,534","28.35","28.35","27.70","27.70","-0.55","457",
"104/12/29","630,556","17,579,072","28.00","28.10","27.70","27.75","+0.05","417",
"104/12/30","427,010","11,890,420","28.00","28.15","27.65","27.70","-0.05","300",
"104/12/31","339,459","9,444,574","27.70","27.95","27.70","27.85","+0.15","233",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

