"109年11月 4108 懷特             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/11/02","563,833","13,999,335","25.10","25.10","24.70","24.70","-0.40","342",
"109/11/03","273,005","6,797,571","25.00","25.20","24.75","24.80","+0.10","159",
"109/11/04","247,385","6,102,233","24.90","24.90","24.55","24.75","-0.05","135",
"109/11/05","323,621","8,102,218","25.15","25.15","24.95","25.05","+0.30","194",
"109/11/06","328,004","8,139,800","25.05","25.05","24.70","24.90","-0.15","184",
"109/11/09","402,501","10,179,350","25.15","25.45","25.15","25.20","+0.30","238",
"109/11/10","397,597","10,056,584","25.60","25.65","25.00","25.10","-0.10","274",
"109/11/11","348,357","8,666,821","25.00","25.05","24.80","24.85","-0.25","220",
"109/11/12","626,025","15,201,208","24.80","24.80","24.00","24.05","-0.80","407",
"109/11/13","401,434","9,558,304","24.00","24.10","23.50","23.75","-0.30","269",
"109/11/16","284,107","6,755,851","23.75","24.00","23.70","23.85","+0.10","192",
"109/11/17","605,605","14,227,207","23.90","23.90","23.35","23.40","-0.45","377",
"109/11/18","540,907","12,878,889","23.40","24.05","23.25","24.00","+0.60","337",
"109/11/19","487,688","11,910,932","24.20","24.65","24.20","24.50","+0.50","338",
"109/11/20","468,404","11,601,296","24.90","25.00","24.60","24.75","+0.25","282",
"109/11/23","421,893","10,354,778","25.00","25.00","24.30","24.40","-0.35","290",
"109/11/24","340,187","8,193,992","24.40","24.40","23.95","24.05","-0.35","236",
"109/11/25","351,234","8,463,533","24.15","24.60","23.90","23.90","-0.15","234",
"109/11/26","532,021","12,574,477","24.00","24.00","23.50","23.70","-0.20","349",
"109/11/27","501,166","11,987,166","23.70","24.10","23.55","24.10","+0.40","304",
"109/11/30","722,603","17,706,426","24.25","24.80","24.10","24.60","+0.50","474",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

