"10502る 4119 Π碔             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/02/01","860,616","65,250,122","76.30","76.80","75.30","75.50","-0.80","617",
"105/02/02","747,927","55,894,059","75.50","75.70","74.30","74.40","-1.10","623",
"105/02/03","1,342,896","100,995,066","74.00","76.40","73.60","74.70","+0.30","1,078",
"105/02/15","742,639","54,843,792","73.60","74.60","73.60","73.70","-1.00","683",
"105/02/16","3,037,774","234,486,305","75.10","78.60","75.10","78.00","+4.30","2,332",
"105/02/17","3,672,868","291,708,759","78.50","81.10","78.00","78.00"," 0.00","2,787",
"105/02/18","1,625,993","128,181,435","78.90","79.40","78.10","79.00","+1.00","1,276",
"105/02/19","1,107,446","86,586,888","78.70","78.80","77.50","78.30","-0.70","861",
"105/02/22","1,693,492","128,730,737","76.00","76.90","75.50","75.90","-2.40","1,345",
"105/02/23","958,295","73,602,118","76.70","77.30","76.40","76.70","+0.80","789",
"105/02/24","994,263","75,525,376","76.90","77.60","75.20","75.50","-1.20","833",
"105/02/25","670,376","50,972,643","76.30","76.50","75.50","75.70","+0.20","554",
"105/02/26","2,177,132","169,348,363","77.50","78.50","77.00","77.90","+2.20","1,618",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

