"106年03月 4119 旭富             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/03/01","433,658","33,139,883","77.40","77.40","75.80","76.10","-0.90","415",
"106/03/02","529,268","40,062,908","76.40","76.80","75.20","75.80","-0.30","403",
"106/03/03","348,208","26,649,585","75.70","77.40","75.60","76.70","+0.90","303",
"106/03/06","442,560","33,954,467","77.40","77.40","76.10","76.60","-0.10","366",
"106/03/07","1,995,533","156,002,228","77.00","79.20","76.60","78.70","+2.10","1,392",
"106/03/08","3,954,946","316,084,168","79.60","80.30","79.40","79.90","+1.20","2,766",
"106/03/09","1,577,609","125,420,554","79.60","80.10","78.70","79.60","-0.30","1,232",
"106/03/10","1,667,264","130,351,904","78.70","78.80","77.40","78.50","-1.10","1,182",
"106/03/13","524,358","41,057,803","78.40","79.10","78.00","78.00","-0.50","478",
"106/03/14","512,402","39,998,256","78.00","78.60","77.70","78.00"," 0.00","466",
"106/03/15","413,205","32,060,938","78.00","78.20","77.30","77.50","-0.50","350",
"106/03/16","350,739","27,210,255","78.00","78.20","77.30","77.50"," 0.00","313",
"106/03/17","415,348","32,375,944","77.60","78.40","77.40","78.30","+0.80","361",
"106/03/20","324,563","25,476,018","78.20","78.80","78.20","78.40","+0.10","297",
"106/03/21","720,572","55,717,827","78.40","78.60","76.60","77.00","-1.40","577",
"106/03/22","381,516","29,265,518","76.50","77.30","76.10","76.70","-0.30","303",
"106/03/23","483,730","36,977,272","76.70","77.10","76.00","76.20","-0.50","391",
"106/03/24","215,402","16,461,167","76.30","76.80","76.10","76.50","+0.30","182",
"106/03/27","391,455","29,739,999","76.90","76.90","75.60","75.60","-0.90","330",
"106/03/28","727,369","54,269,778","75.50","76.00","73.20","73.90","-1.70","570",
"106/03/29","266,546","19,708,204","74.50","74.50","73.70","74.00","+0.10","223",
"106/03/30","349,086","26,201,950","74.30","75.60","74.30","75.00","+1.00","321",
"106/03/31","169,318","12,727,438","75.40","75.40","74.80","75.20","+0.20","152",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

