"105年12月 4133 亞諾法           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/12/01","903,481","33,851,485","37.80","38.70","36.45","37.50","+0.95","482",
"105/12/02","1,263,038","46,488,046","37.70","38.30","36.15","37.00","-0.50","535",
"105/12/05","183,523","6,696,351","36.60","36.65","36.25","36.35","-0.65","115",
"105/12/06","201,212","7,288,138","36.85","36.85","36.00","36.20","-0.15","119",
"105/12/07","466,842","17,392,119","36.90","37.85","36.50","37.85","+1.65","191",
"105/12/08","753,280","28,301,722","37.85","38.20","37.05","37.10","-0.75","324",
"105/12/09","369,062","13,565,615","37.35","37.60","36.50","36.60","-0.50","150",
"105/12/12","112,693","4,125,476","36.25","37.20","36.25","37.20","+0.60","80",
"105/12/13","287,076","10,663,195","37.40","37.40","36.80","36.80","-0.40","92",
"105/12/14","212,152","7,724,500","37.10","37.10","36.35","36.40","-0.40","91",
"105/12/15","175,201","6,370,737","36.25","36.80","36.05","36.80","+0.40","84",
"105/12/16","86,073","3,174,774","37.20","37.20","36.70","36.70","-0.10","54",
"105/12/19","48,089","1,744,720","36.95","36.95","36.15","36.20","-0.50","35",
"105/12/20","167,024","6,045,567","36.25","36.70","36.10","36.15","-0.05","58",
"105/12/21","234,100","8,530,376","36.30","36.80","36.20","36.80","+0.65","101",
"105/12/22","251,977","9,282,952","36.80","37.20","36.60","36.85","+0.05","106",
"105/12/23","207,717","7,683,529","37.00","37.20","36.65","37.00","+0.15","97",
"105/12/26","109,012","4,025,044","37.15","37.15","36.65","36.90","-0.10","38",
"105/12/27","72,089","2,658,060","36.80","37.05","36.60","36.95","+0.05","50",
"105/12/28","91,261","3,371,919","37.10","37.10","36.60","36.70","-0.25","58",
"105/12/29","118,088","4,328,731","36.90","36.90","36.55","36.70"," 0.00","32",
"105/12/30","236,305","8,671,371","36.95","36.95","36.65","36.75","+0.05","55",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

