"109年06月 4137 麗豐-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/06/01","502,008","101,288,132","199.00","204.00","199.00","202.00","+5.00","405",
"109/06/02","479,768","96,683,482","202.50","204.00","200.00","200.00","-2.00","385",
"109/06/03","636,920","130,539,478","203.00","206.50","201.50","206.00","+6.00","535",
"109/06/04","419,740","85,847,827","207.00","207.50","203.00","204.00","-2.00","369",
"109/06/05","297,450","60,543,150","204.00","205.50","201.50","205.00","+1.00","241",
"109/06/08","914,907","190,363,470","209.00","211.00","204.50","209.00","+4.00","805",
"109/06/09","580,246","120,276,128","207.50","209.00","205.50","208.00","-1.00","399",
"109/06/10","861,200","182,083,100","207.50","214.00","207.00","212.50","+4.50","692",
"109/06/11","931,182","194,969,899","212.00","213.50","204.50","205.00","-7.50","743",
"109/06/12","387,209","78,510,703","198.50","208.00","197.00","206.00","+1.00","341",
"109/06/15","536,401","109,231,701","206.00","206.50","200.50","201.00","-5.00","473",
"109/06/16","427,625","86,436,375","204.00","204.00","200.50","202.00","+1.00","370",
"109/06/17","631,401","129,420,705","203.00","208.50","201.00","203.50","+1.50","530",
"109/06/18","1,755,300","366,615,400","203.50","212.50","201.50","209.50","+6.00","1,359",
"109/06/19","928,340","193,725,910","209.50","212.50","206.00","207.50","-2.00","727",
"109/06/22","443,403","92,914,436","207.50","211.50","207.50","210.00","+2.50","364",
"109/06/23","1,903,741","411,574,815","212.00","220.00","212.00","215.50","+5.50","1,438",
"109/06/24","741,546","159,688,344","217.00","218.50","212.50","214.00","-1.50","655",
"109/06/29","822,611","171,780,310","209.00","211.50","207.00","208.00","-6.00","653",
"109/06/30","1,458,921","314,027,199","212.00","219.50","209.00","217.00","+9.00","1,112",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

