"10503る 4141 纒縊-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/03/01","142,335","4,092,779","28.90","28.90","28.55","28.60","-0.30","103",
"105/03/02","516,240","15,315,802","28.90","30.20","28.90","29.80","+1.20","331",
"105/03/03","632,480","19,323,819","30.00","31.30","30.00","30.30","+0.50","373",
"105/03/04","1,347,709","43,494,156","30.70","33.30","30.35","32.10","+1.80","826",
"105/03/07","2,194,505","75,488,599","33.00","35.30","33.00","35.30","+3.20","1,206",
"105/03/08","2,041,454","71,878,180","35.30","36.40","33.85","35.80","+0.50","1,100",
"105/03/09","1,018,023","36,748,062","36.25","36.90","35.20","35.45","-0.35","718",
"105/03/10","1,296,659","47,963,263","37.30","37.80","36.20","36.80","+1.35","820",
"105/03/11","3,877,387","152,811,497","37.35","40.45","37.35","40.00","+3.20","1,984",
"105/03/14","2,864,302","110,402,977","39.95","39.95","37.95","38.40","-1.60","1,638",
"105/03/15","2,199,791","79,802,533","37.50","37.90","35.10","35.70","-2.70","1,280",
"105/03/16","1,223,958","44,845,174","36.05","37.65","35.50","36.40","+0.70","766",
"105/03/17","742,614","26,456,590","36.20","36.90","35.00","35.00","-1.40","485",
"105/03/18","2,078,359","76,733,962","35.30","37.65","35.30","37.50","+2.50","1,220",
"105/03/21","640,850","23,624,671","36.60","37.30","36.55","36.85","-0.65","425",
"105/03/22","507,400","18,618,429","36.65","37.50","36.05","36.20","-0.65","352",
"105/03/23","408,439","14,637,243","36.10","36.60","35.55","35.55","-0.65","263",
"105/03/24","282,120","10,087,728","35.50","36.25","35.05","35.85","+0.30","192",
"105/03/25","238,120","8,434,673","35.25","36.20","35.15","35.20","-0.65","138",
"105/03/28","874,102","29,618,041","35.05","36.00","32.60","32.95","-2.25","465",
"105/03/29","549,180","18,145,730","34.20","34.20","32.30","32.30","-0.65","345",
"105/03/30","260,000","8,468,300","32.80","33.20","32.20","32.60","+0.30","172",
"105/03/31","1,358,787","47,318,751","33.50","35.85","33.10","34.50","+1.90","821",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

