"108年05月 4141 龍燈-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/05/02","29,188","550,822","18.90","18.90","18.80","18.85","-0.05","21",
"108/05/03","78,600","1,479,969","18.90","18.90","18.75","18.90","+0.05","43",
"108/05/06","105,420","1,979,222","18.90","18.90","18.70","18.85","-0.05","69",
"108/05/07","126,000","2,421,950","18.90","19.35","18.90","19.10","+0.25","106",
"108/05/08","55,100","1,049,450","19.05","19.20","18.80","19.10"," 0.00","47",
"108/05/09","79,240","1,498,608","19.05","19.05","18.85","18.85","-0.25","50",
"108/05/10","103,102","1,929,526","18.70","18.85","18.65","18.65","-0.20","47",
"108/05/13","102,034","1,874,174","18.40","18.50","18.25","18.30","-0.35","69",
"108/05/14","87,200","1,566,509","18.15","18.25","17.80","18.05","-0.25","59",
"108/05/15","31,131","569,422","18.25","18.35","18.15","18.35","+0.30","24",
"108/05/16","275,407","4,859,762","18.15","18.15","17.40","17.70","-0.65","176",
"108/05/17","127,690","2,253,461","17.50","17.85","17.50","17.85","+0.15","68",
"108/05/20","20,020","356,706","17.75","18.05","17.70","17.90","+0.05","19",
"108/05/21","25,050","443,340","17.50","17.85","17.50","17.80","-0.10","24",
"108/05/22","29,250","521,825","17.90","17.90","17.70","17.70","-0.10","20",
"108/05/23","48,120","842,312","17.70","17.70","17.20","17.70"," 0.00","34",
"108/05/24","24,060","423,750","17.60","17.70","17.55","17.65","-0.05","20",
"108/05/27","49,610","864,752","17.60","17.60","17.35","17.40","-0.25","41",
"108/05/28","25,800","448,189","17.30","17.50","17.20","17.30","-0.10","26",
"108/05/29","68,165","1,185,728","17.45","17.55","17.20","17.30"," 0.00","60",
"108/05/30","28,248","489,140","17.30","17.35","17.25","17.30"," 0.00","20",
"108/05/31","59,060","1,021,391","17.35","17.40","17.20","17.25","-0.05","40",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

