"106年11月 4142 國光生           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","379,001","7,946,971","21.00","21.10","20.85","20.90","-0.05","253",
"106/11/02","619,208","12,992,115","20.90","21.20","20.85","20.85","-0.05","347",
"106/11/03","599,301","12,461,755","20.85","20.95","20.75","20.75","-0.10","309",
"106/11/06","485,001","10,069,620","20.80","20.90","20.70","20.70","-0.05","247",
"106/11/07","659,006","13,560,424","20.70","20.75","20.50","20.55","-0.15","361",
"106/11/08","372,025","7,692,615","20.55","20.75","20.55","20.60","+0.05","220",
"106/11/09","595,006","12,306,822","20.75","20.85","20.55","20.55","-0.05","282",
"106/11/10","325,000","6,693,950","20.55","20.65","20.50","20.60","+0.05","168",
"106/11/13","1,111,204","22,887,860","20.55","20.95","20.35","20.40","-0.20","453",
"106/11/14","557,007","11,273,691","20.55","20.55","20.10","20.10","-0.30","301",
"106/11/15","512,164","10,293,380","20.20","20.30","20.00","20.00","-0.10","310",
"106/11/16","563,001","11,248,970","20.05","20.10","19.90","20.05","+0.05","252",
"106/11/17","511,002","10,187,490","20.05","20.15","19.85","19.85","-0.20","275",
"106/11/20","842,001","16,856,220","19.80","20.30","19.80","19.95","+0.10","429",
"106/11/21","749,000","15,143,450","20.35","20.45","20.05","20.05","+0.10","438",
"106/11/22","447,000","8,979,150","20.25","20.25","20.05","20.05"," 0.00","201",
"106/11/23","234,000","4,697,450","20.20","20.20","20.00","20.05"," 0.00","143",
"106/11/24","342,000","6,880,350","20.20","20.20","20.05","20.20","+0.15","173",
"106/11/27","2,437,004","50,350,081","20.45","20.90","20.35","20.60","+0.40","952",
"106/11/28","719,004","14,716,930","20.70","20.75","20.25","20.25","-0.35","349",
"106/11/29","627,372","12,649,777","20.35","20.35","20.00","20.00","-0.25","286",
"106/11/30","2,011,001","40,674,920","20.00","20.50","20.00","20.00"," 0.00","585",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

