"107年03月 4148 全宇生技-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","859,206","101,704,102","119.50","121.00","115.50","116.50","-3.00","628",
"107/03/02","681,070","76,263,945","113.50","113.50","110.50","113.50","-3.00","540",
"107/03/05","274,035","30,818,385","114.00","114.00","111.00","111.00","-2.50","206",
"107/03/06","590,730","71,639,060","120.00","122.00","119.00","122.00","+11.00","344",
"107/03/07","2,371,275","300,367,325","127.00","130.50","122.00","122.00"," 0.00","1,595",
"107/03/08","1,823,193","232,742,318","123.50","131.50","123.50","127.00","+5.00","1,322",
"107/03/09","928,332","114,858,832","126.00","127.00","122.00","123.00","-4.00","689",
"107/03/12","605,000","74,092,500","124.50","125.50","121.00","122.00","-1.00","428",
"107/03/13","988,100","123,874,549","122.50","128.00","122.50","123.00","+1.00","736",
"107/03/14","540,150","65,634,225","123.00","123.00","121.00","121.00","-2.00","441",
"107/03/15","442,122","54,388,628","122.50","124.50","121.50","122.00","+1.00","390",
"107/03/16","429,000","52,892,000","123.00","125.00","122.00","123.00","+1.00","323",
"107/03/19","385,003","47,141,393","123.00","123.50","121.50","122.50","-0.50","290",
"107/03/20","4,267,345","564,959,401","123.00","134.50","123.00","134.50","+12.00","2,836",
"107/03/21","1,509,650","199,223,750","134.50","134.50","129.00","132.50","-2.00","1,170",
"107/03/22","4,360,168","591,352,172","134.50","143.50","125.50","126.00","-6.50","3,283",
"107/03/23","2,079,215","264,722,020","122.00","132.50","121.50","128.00","+2.00","1,638",
"107/03/26","1,339,086","175,521,524","129.50","133.50","127.50","130.50","+2.50","1,085",
"107/03/27","1,282,087","168,996,636","132.00","135.00","128.50","128.50","-2.00","1,026",
"107/03/28","1,004,223","132,051,547","129.50","134.00","128.50","133.50","+5.00","832",
"107/03/29","6,992,093","988,945,694","136.00","146.50","132.50","134.00","+0.50","4,640",
"107/03/30","3,097,055","405,342,145","136.00","137.50","127.00","129.00","-5.00","2,309",
"107/03/31","932,180","121,813,670","129.00","133.00","128.00","130.00","+1.00","770",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

