"107年02月 4155 訊映             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/02/01","185,000","5,543,500","29.95","30.10","29.90","29.90","-0.05","85",
"107/02/02","178,094","5,238,827","29.80","29.80","29.30","29.30","-0.60","134",
"107/02/05","118,053","3,395,987","29.25","29.25","28.60","28.75","-0.55","94",
"107/02/06","269,214","7,304,566","28.45","28.45","26.20","26.70","-2.05","172",
"107/02/07","143,100","3,938,434","26.95","27.80","26.95","27.60","+0.90","70",
"107/02/08","73,060","2,002,511","27.60","27.60","27.20","27.50","-0.10","45",
"107/02/09","169,051","4,447,523","27.20","27.20","25.55","26.70","-0.80","106",
"107/02/12","59,100","1,580,618","26.55","26.95","26.55","26.95","+0.25","53",
"107/02/21","114,000","3,135,800","27.10","27.90","27.10","27.30","+0.35","62",
"107/02/22","77,373","2,122,207","27.30","27.80","27.30","27.75","+0.45","47",
"107/02/23","42,245","1,180,021","27.80","28.00","27.80","28.00","+0.25","27",
"107/02/26","64,003","1,795,934","28.00","28.50","27.80","27.90","-0.10","43",
"107/02/27","69,000","1,916,950","27.90","28.10","27.50","27.50","-0.40","36",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

