"108年10月 4164 承業醫           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/10/01","312,166","13,487,338","43.40","43.40","43.05","43.20","-0.20","226",
"108/10/02","198,000","8,588,900","43.20","43.50","43.10","43.35","+0.15","144",
"108/10/03","322,353","13,946,883","43.15","43.35","43.10","43.30","-0.05","219",
"108/10/04","484,266","21,208,771","43.20","44.10","43.20","43.50","+0.20","344",
"108/10/07","178,055","7,758,481","43.80","43.85","43.35","43.50"," 0.00","129",
"108/10/08","182,300","7,928,700","43.50","43.60","43.35","43.40","-0.10","112",
"108/10/09","503,200","21,465,328","43.25","43.25","42.10","42.40","-1.00","360",
"108/10/14","571,048","24,542,129","43.50","43.65","42.60","42.60","+0.20","438",
"108/10/15","199,003","8,455,827","42.80","42.80","42.35","42.50","-0.10","135",
"108/10/16","746,884","31,146,267","42.50","42.50","40.80","41.15","-1.35","567",
"108/10/17","636,103","25,833,661","41.30","41.30","40.45","40.60","-0.55","418",
"108/10/18","598,536","24,193,863","40.60","40.60","40.30","40.40","-0.20","385",
"108/10/21","899,580","36,648,864","40.45","41.30","40.10","41.30","+0.90","555",
"108/10/22","488,266","20,137,089","41.40","41.50","41.05","41.20","-0.10","293",
"108/10/23","367,000","15,034,800","41.40","41.45","40.80","40.95","-0.25","224",
"108/10/24","381,500","15,514,775","40.95","40.95","40.50","40.60","-0.35","259",
"108/10/25","479,090","19,350,108","40.70","40.75","40.20","40.35","-0.25","269",
"108/10/28","283,864","11,466,581","40.35","40.65","40.15","40.55","+0.20","218",
"108/10/29","1,040,507","42,837,161","40.50","41.55","40.50","41.15","+0.60","588",
"108/10/30","1,412,100","59,322,700","41.20","42.40","41.20","41.90","+0.75","907",
"108/10/31","571,100","23,801,954","41.90","42.20","41.30","41.45","-0.45","374",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

