"10501る 4190 ︴祅-KY          らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","165,066","21,794,212","137.50","137.50","130.00","130.00","-7.50","146",
"105/01/05","174,050","22,198,000","130.00","130.00","126.00","126.00","-4.00","160",
"105/01/06","231,110","28,402,250","127.50","128.00","119.00","119.00","-7.00","193",
"105/01/07","490,477","56,903,740","115.50","128.00","108.00","121.00","+2.00","430",
"105/01/08","268,359","32,362,439","119.00","124.00","116.00","120.00","-1.00","222",
"105/01/11","269,350","33,342,225","124.00","127.50","120.00","122.50","+2.50","239",
"105/01/12","191,262","22,689,440","122.50","123.50","114.00","114.00","-8.50","177",
"105/01/13","111,070","13,021,680","116.00","118.50","115.50","116.50","+2.50","105",
"105/01/14","75,060","8,570,000","113.00","117.00","112.50","115.50","-1.00","71",
"105/01/15","156,000","18,202,000","117.50","118.50","115.50","117.00","+1.50","127",
"105/01/18","170,131","20,236,244","116.00","122.50","114.00","122.50","+5.50","161",
"105/01/19","383,435","50,568,506","122.50","134.50","122.50","134.50","+12.00","330",
"105/01/20","750,191","105,509,622","139.00","146.00","135.00","137.00","+2.50","639",
"105/01/21","288,090","39,038,470","139.00","139.50","131.00","132.50","-4.50","262",
"105/01/22","331,000","43,076,000","135.00","135.00","127.00","128.50","-4.00","287",
"105/01/25","202,050","26,630,450","130.00","135.00","129.00","132.00","+3.50","170",
"105/01/26","143,150","18,458,774","132.00","132.00","128.00","128.00","-4.00","130",
"105/01/27","155,000","19,775,500","130.00","130.00","126.50","126.50","-1.50","141",
"105/01/28","105,742","13,341,105","122.50","129.00","122.00","127.50","+1.00","100",
"105/01/29","197,554","25,616,574","127.00","132.00","126.50","130.00","+2.50","180",
"105/01/30","127,500","16,553,500","131.00","131.50","128.50","130.00"," 0.00","129",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

