"107年06月 4190 佐登-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/06/01","3,615,150","459,320,074","124.50","130.00","122.00","127.00","+2.00","2,842",
"107/06/04","4,130,360","543,882,620","130.50","135.00","127.00","127.00"," 0.00","3,070",
"107/06/05","1,987,070","256,815,170","127.50","131.50","127.00","129.50","+2.50","1,475",
"107/06/06","1,578,104","208,207,884","132.00","134.50","130.50","130.50","+1.00","1,246",
"107/06/07","1,711,221","222,239,509","132.00","132.50","128.00","128.00","-2.50","1,190",
"107/06/08","1,941,492","241,813,749","127.00","128.00","122.50","123.50","-4.50","1,490",
"107/06/11","1,214,022","148,136,250","121.50","124.50","120.00","122.00","-1.50","958",
"107/06/12","4,254,205","553,731,470","123.50","134.00","121.00","134.00","+12.00","3,043",
"107/06/13","8,211,235","1,111,548,697","134.00","143.00","124.50","124.50","-9.50","6,046",
"107/06/14","1,882,024","240,467,620","128.00","130.50","125.50","126.50","+2.00","1,514",
"107/06/15","2,115,749","277,015,739","128.50","133.00","127.50","132.50","+6.00","1,692",
"107/06/19","968,792","127,220,460","132.50","134.00","129.00","129.50","-3.00","854",
"107/06/20","3,954,221","519,868,009","133.50","139.00","121.00","128.00","-1.50","3,142",
"107/06/21","2,064,760","274,371,600","131.00","135.00","129.00","135.00","+7.00","1,601",
"107/06/22","4,056,317","547,530,710","135.00","139.00","131.00","131.00","-4.00","3,137",
"107/06/25","1,364,256","180,236,662","133.50","135.00","130.50","130.50","-0.50","1,105",
"107/06/26","1,259,369","163,709,208","131.00","132.00","127.00","132.00","+1.50","1,016",
"107/06/27","961,121","125,871,395","133.50","134.50","128.50","130.50","-1.50","832",
"107/06/28","1,936,785","257,371,011","129.50","135.50","129.50","132.00","+1.50","1,535",
"107/06/29","1,325,120","171,464,039","132.50","132.50","128.00","129.00","-3.00","1,072",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

