"10406る 4737 地約             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","68,136","3,639,803","52.50","55.90","52.50","53.80","+1.40","47",
"104/06/02","98,273","5,391,259","54.00","55.30","54.00","55.10","+1.30","76",
"104/06/03","87,273","4,814,023","55.50","55.90","54.50","54.60","-0.50","60",
"104/06/04","67,000","3,635,100","54.50","54.90","54.00","54.00","-0.60","46",
"104/06/05","62,336","3,375,544","54.00","54.50","54.00","54.30","+0.30","50",
"104/06/08","94,342","5,186,207","54.10","55.30","54.10","55.00","+0.70","67",
"104/06/09","206,200","11,654,800","55.30","58.00","55.30","56.30","+1.30","156",
"104/06/10","737,044","44,221,013","56.70","61.90","56.30","61.90","+5.60","527",
"104/06/11","821,932","52,580,016","64.50","65.90","62.20","63.30","+1.40","596",
"104/06/12","426,409","27,073,376","63.00","64.80","62.20","64.30","+1.00","325",
"104/06/15","696,170","45,788,010","64.50","67.20","64.00","64.00","-0.30","453",
"104/06/16","297,955","18,690,087","63.90","63.90","62.20","63.00","-1.00","196",
"104/06/17","320,546","20,193,313","63.60","64.50","60.20","60.50","-2.50","219",
"104/06/18","144,688","8,830,992","60.50","61.80","60.50","61.00","+0.50","101",
"104/06/22","210,147","13,029,525","61.20","63.00","61.00","61.40","+0.40","104",
"104/06/23","122,000","7,502,300","62.10","62.10","61.10","61.20","-0.20","77",
"104/06/24","66,379","4,074,794","61.90","62.00","61.20","61.20"," 0.00","54",
"104/06/25","190,000","11,464,400","61.20","61.50","59.60","60.00","-1.20","118",
"104/06/26","110,136","6,577,873","60.00","60.10","59.10","60.10","+0.10","76",
"104/06/29","132,136","7,807,005","59.10","59.60","58.70","59.60","-0.50","82",
"104/06/30","71,501","4,319,360","58.60","61.50","58.60","60.60","+1.00","57",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

