"106年10月 4737 華廣             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/10/02","26,783","1,439,559","53.40","55.50","53.00","54.50","+1.60","29",
"106/10/03","31,061","1,680,724","54.50","54.50","53.60","54.20","-0.30","29",
"106/10/05","42,000","2,284,300","54.70","55.00","53.40","54.20"," 0.00","36",
"106/10/06","10,212","549,148","53.80","54.30","53.60","54.30","+0.10","10",
"106/10/11","18,150","976,430","54.30","54.30","53.40","53.80","-0.50","19",
"106/10/12","9,318","500,667","53.50","54.00","53.40","54.00","+0.20","11",
"106/10/13","4,000","215,200","54.00","54.00","53.60","53.70","-0.30","4",
"106/10/16","53,005","2,811,567","54.00","54.00","52.50","52.90","-0.80","46",
"106/10/17","23,000","1,210,200","53.00","53.00","52.10","52.70","-0.20","22",
"106/10/18","16,000","833,600","52.50","52.50","52.00","52.00","-0.70","14",
"106/10/19","34,500","1,783,100","52.20","52.20","51.20","51.30","-0.70","27",
"106/10/20","164,191","8,230,587","51.20","51.20","49.80","49.80","-1.50","147",
"106/10/23","484,403","22,915,245","49.80","49.80","46.70","48.20","-1.60","452",
"106/10/24","339,403","16,058,834","48.00","48.00","46.95","47.85","-0.35","284",
"106/10/25","176,728","8,565,134","48.20","48.80","48.00","48.80","+0.95","142",
"106/10/26","311,055","16,264,498","48.90","53.60","48.90","53.60","+4.80","252",
"106/10/27","577,200","31,797,120","55.10","56.70","53.00","53.10","-0.50","395",
"106/10/30","95,000","5,094,500","53.10","55.30","52.50","54.50","+1.40","82",
"106/10/31","45,010","2,428,642","53.40","54.50","53.40","53.90","-0.60","42",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

